"Post Title",Author,Bio,"Video URL","Video 2 URL","Video 3 URL","GIF Breakdown",Status,Type,Development,Emotions,"Fallen Affect","J Signal Mixing","P Signal Mixing",Alternative,Sex,"Age Range",Geography,Ethnicity,Checkbox,"Checkbox 1","R1 Rigid Posture Copy","R2 Face Centric","R3 Punctuated Motions","R4 Vertical Movements","R5 Subordinate Fluidity","F1 Fluid Posture","F2 Eye Centric","F3 Gliding Motions","F4 Horizontal Movements","F5 Subordinate Rigidity","PF1 Restless Momentum","PF2 Toggling Eyes","PF3 Body Swaying","PF4 Casual Hands","PF5 Alert Perk Ups","RF1 Viscous Inertia","RF2 Fixed Gaze","RF3 Diagonal Eye Drifts","RF4 Searching Scowling","RF5 Narrow Head Zoning","PR1 Head Pushes","PR2 Head Shakes","PR3 Shoulder Shrugs","PR4 Fluent Articulation","PR5 Projecting Hands","RR1 Poised Receding","RR2 Disengaging Eyes","RR3 Exerted Pushes","RR4 Momentum Halting","RR5 Meticulous Hands","CA1 Taut Nasolabial Area","CA2 Vertical Snarling Smiles","CA3 Four Point Pulling","CA4 Wobbling Lips","CA5 Asymmetrical Smirks","CA6 Sassy Movements","CA7 Plateau Velocity","CA8 Nasal Breathy Voice","CA9 Grasping Hands","MS1 Lax Nasolabial Area","MS2 Horizontal Curtain Smiles","MS3 Two Point Pulling","MS4 Symmetrical Lips","MS5 Emotional Neutralization","MS6 Coordinated Movements","MS7 Parabolic Velocity","MS8 Laryngeal Faint Voice","MS9 Puppeteer Hands","GR1 Taut Preseptal Area","GR2 Lax Pretarsal Area","GR3 Taut Outer Edges","GR4 Intense Scowling","GR5 Pointed Eye Toggles","GR6 Eye Head Parallel Motion","GR7 Grounding Effect","GR8 Bodily Awareness","SU1 Lax Preseptal Area","SU2 Taut Pretarsal Area","SU3 Lax Outer Edges","SU4 Concerned Scowling","SU5 Brushstrokes Eye Toggles","SU6 Eye Head Trailing Motions","SU7 Levity Effect","SU8 Quirky Skits","EU1 Responsive Nodding","EU2 Polite Smiling","EU3 Bashful Body Movements","EG1 Upset Mouth Tension","EG2 Assertive Pushing","EG3 Stern Expressions"
"Shaman Durek","Calin Copil","Shaman Durek, born Durek Verrett in 1974, is an American spiritual guide and author, known for his unique blend of ancient shamanic traditions with modern wellness practices. He promotes empowerment and healing, claiming a lineage as a sixth-generation shaman. His controversial and charismatic approach has attracted celebrities and criticism alike, emphasizing personal power and spiritual enlightenment.",https://www.youtube.com/watch?v=sOeplcnCGvc,https://www.youtube.com/watch?v=OAkGXKxDU0E,https://www.youtube.com/watch?v=MOKaTvcPnD0,https://docs.google.com/document/d/1e_USKpjG8NTshq-t2lh3sTeEV2Jb5hkf-K9WXn4aALo/edit,,feni,i--i,directive,1,low,low,"II-I / IIII",male,1970s,north_america,black/african,,"juan_e._sandoval | calin_copil | peter_j._foy",7,7,7,7,2,2,2,2,2,,2,4,2,4,,2,2,4,4,2,7,7,,7,7,4,7,2,2,4,2,,2,0,0,2,2,,2,2,7,4,7,2,7,7,7,4,7,7,7,4,7,4,2,2,,,,,,,,2,2,2,,2,4,4
"Gugu Mbatha-Raw","Calin Copil","Gugu Mbatha-Raw is a British actress renowned for her versatile performances across film, television, and theater. Born in 1983 in Oxford, England, she gained prominence with roles in ""Belle"" and ""Beyond the Lights."" Her emotionally nuanced portrayals often explore complex characters, earning her critical acclaim. Mbatha-Raw's talents extend to impactful parts in ""Black Mirror"" and ""The Morning Show,"" showcasing her dynamic range and profound influence in the acting world.
",https://www.youtube.com/watch?v=-Qkt-PdU_AE,https://www.youtube.com/watch?v=KUvlfwXtyz8,https://www.youtube.com/watch?v=sLmhyajyws0,https://docs.google.com/document/d/12bbSrBNqWJ7ErScIhyid_kMa3485tAhtbiKLelOk_NQ/edit,,tesi,i-ii,seelie,0,low,medium,,female,1980s,western_europe,-1,,"juan_e._sandoval | calin_copil | ash_rose | peter_j._foy",7,4,7,4,4,,2,4,2,,2,4,4,4,7,,,4,2,,7,7,2,4,7,7,4,4,2,7,7,7,7,4,2,4,7,0,7,,,,4,,2,2,2,,2,2,4,2,4,2,,,2,7,0,7,4,2,4,2,7,7,7,,2,2
"Eric Weinstein","Calin Copil","Eric Weinstein is an American mathematician, economist, podcast host, and cultural commentator, known for his critiques of modern academic and economic systems. He coined the term ""Intellectual Dark Web"" to describe a group of scholars and pundits exploring controversial ideas outside mainstream discourse. Weinstein's diverse interests include theories in physics and advocating for heterodox approaches to scientific research and societal governance. He hosts ""The Portal"" podcast, discussing topics related to technology, culture, and business. ",https://www.youtube.com/watch?v=p_swB_KS8Hw,https://www.youtube.com/watch?v=18bhyZIFXF4,https://www.youtube.com/watch?v=zHAl1PHcQyU,https://docs.google.com/document/d/1PuzhAIUYvXTWgEE1HHNH_qVLe6-qKAgzLOtj7jV6L5A/edit,,sife,ii--,neutral,0,medium,low,SiTe,male,1960s,north_america,jewish,,"juan_e._sandoval | calin_copil",2,,4,4,,4,2,4,7,4,2,2,2,2,2,4,7,4,2,7,2,4,2,4,7,,2,2,2,4,7,4,4,4,0,2,2,,,0,2,2,2,2,7,7,7,4,,2,2,,2,,2,,7,7,7,7,,2,4,,2,2,2,,2,2
"Catherine O'Hara","Sierra Schwartz","Catherine O'Hara is a highly esteemed Canadian actress known for her exceptional talent and versatility. Born on March 4, 1954, in Toronto, she gained prominence through her work on the influential sketch comedy show ""SCTV"" during the 1970s and 1980s. O'Hara's illustrious career spans decades and encompasses a wide range of acclaimed roles in film and television. She has earned widespread acclaim for her collaborations with renowned filmmakers such as Tim Burton, notably in ""Beetlejuice"" and ""The Nightmare Before Christmas."" Additionally, her memorable performances in Christopher Guest's mockumentaries, including ""Waiting for Guffman,"" have solidified her reputation as a comedic virtuoso. O'Hara's recent portrayal of Moira Rose in the Emmy-winning series ""Schitt's Creek"" further underscores her enduring talent and enduring appeal.",https://www.youtube.com/watch?v=QmnwbqlaVoo,https://www.youtube.com/watch?v=d5e8jBhQTg8,https://www.youtube.com/watch?v=eQGqaXfdNnE&t=280s,https://docs.google.com/document/d/159gSSSqdeTquzuGqebZZJTdzkmCyoOg-JV7vVgQBEhU/edit,,fesi,i-ii,adaptive,0,low,low,,female,1950s,north_america,white/european,,ash_rose,4,4,7,4,4,2,2,2,4,,2,4,2,4,4,2,2,2,4,2,4,4,2,4,7,4,2,4,4,4,,,2,2,,,,,,4,7,7,4,2,7,4,4,4,2,,2,,,,,,2,4,4,7,4,4,2,4,7,7,2,2,2,
"Ennio Morricone","Ash Rose","Ennio Morricone was an influential Italian composer who contributed significantly to the film industry with over 400 scores for cinema and television, as well as over 100 classical works. Born in Rome, he entered the Conservatory of Santa Cecilia at age 12, focusing on the trumpet and composition. Morricone gained international recognition through his collaboration with director Sergio Leone on the ""Dollars Trilogy"" in the 1960s, which innovated the Western genre's musical landscape.

Morricone was known for his unique ability to integrate various musical styles and unconventional instruments into his compositions, creating memorable and emotionally resonant soundtracks. His work extended beyond film, including compositions for concert halls. Morricone's enduring legacy in music and cinema is marked by his innovative approach and broad influence across genres.",https://www.youtube.com/watch?v=vGrVVgxMYsQ,https://www.youtube.com/watch?v=hcjnVyaIZXI,https://www.youtube.com/watch?v=YdPdiXgFFw8&t=219s,https://docs.google.com/document/d/1fsBR2IpTEPc0TF2t6S__TQBZbEHke8pmzFsBnZmbdfY/edit?usp=sharing,,nife,iiii,directive,3,low,medium,"SiFe I-II",male,1920s,western_europe,white/european,,"juan_e._sandoval | calin_copil | sierra_rose",,2,,,,7,4,2,4,4,2,4,2,4,7,7,7,4,7,7,4,4,2,4,7,4,2,2,2,7,2,,4,,,,,,2,,4,4,7,4,4,4,4,7,,,7,7,7,4,2,2,7,7,0,,,,2,,,,,,4,7
"Polina Semionova","Calin Copil","Polina Semionova is an internationally renowned ballet dancer, celebrated for her remarkable technique and emotional depth. Born in Moscow, Russia, in 1984, she trained at the Bolshoi Ballet School. Semionova rose to prominence quickly, becoming a principal dancer with the Berlin State Ballet at just 18. Her repertoire spans classical and contemporary works, showcasing her versatility. Semionova has received numerous awards, solidifying her status as a luminary in the world of ballet.",https://www.youtube.com/watch?v=nlod6BrFlJE,https://www.youtube.com/watch?v=3sHMP_tXUmY,https://www.youtube.com/watch?v=Vp5H99KIcdk,https://docs.google.com/document/d/1bUpb6OjEUc1sgiPNTpv5rPnmSjqBWarzg9NVdqLssjY/edit,,tine,i---,adaptive,0,low,low,"II-- (3rd vid)",female,1980s,eastern_europe,white/european,,"calin_copil | peter_j._foy",7,7,2,4,2,,2,2,2,,2,4,2,2,2,,,2,2,,2,2,,4,,7,7,2,2,7,2,,,,,,,,,2,7,7,7,2,2,2,7,,4,,2,,2,2,,,4,4,2,2,4,4,2,,2,7,4,,,2
"Ryan Garcia","Calin Copil","Ryan Garcia is an American professional boxer who held the WBC interim lightweight title in 2021. With a record of 24 wins, 20 knockouts, and 1 loss, Garcia is known for his potent punches and agility. Despite a loss to Gervonta Davis, his resilience keeps him among the top lightweights globally, underscoring his prominence in boxing.",https://www.youtube.com/watch?v=qUUZHkOpJYE,https://www.youtube.com/watch?v=tNzZNUV5vHw,https://www.youtube.com/watch?v=RmMLZe8J81U&list=WL&index=24,https://docs.google.com/document/d/101Y1t7ox8BUUQuFhYytbelBuc9Ix2o7Kupng30iEB_4/edit,,seti,ii--,neutral,2,low,low,,male,1990s,north_america,hispanic/latino,,"juan_e._sandoval | calin_copil | peter_j._foy",2,2,2,4,,7,7,7,7,4,4,4,4,7,2,2,2,2,4,,2,2,2,4,4,2,7,,2,4,2,,,,2,,,,,7,7,7,7,7,4,4,7,2,4,4,2,4,7,7,7,7,,,2,,,,,,2,0,,2,2,4
"Crash Makerspace","Ahmad Aldroubi","Crash Makerspace is a youtube channel, instagram and tiktok personality that goes from circuit design, to 3D printing, to coding, to DIY armor that can stop bullets. It explains with details and teach the viewer who is interested in technical design.",https://www.youtube.com/watch?v=uQugXId1rRw,https://www.youtube.com/watch?v=HN0UnfJFmFA,https://www.youtube.com/watch?v=qzmWxPJQhOo,https://docs.google.com/document/d/1gsFsAp9Sv1z5L-_tFDWbMYrVtTaPVwFfK146_fD6uKk/edit?usp=sharing,,tise,ii-i,adaptive,0,low,low,"TiSe I-I",male,-1,north_america,white/european,,"calin_copil | sierra_rose | ahmad_aldroubi",4,4,7,7,2,2,2,2,2,,4,2,2,4,4,,,2,,2,4,2,2,4,4,2,4,4,4,7,,,,,,,,,,7,7,4,7,7,4,7,4,4,7,4,4,0,4,4,2,2,0,0,2,4,2,0,,,0,4,4,0,2,0
"Morgan Housel","Calin Copil","Morgan Housel is a partner at The Collaborative Fund and a former columnist at The Motley Fool and The Wall Street Journal. He is a renowned financial journalist and author, best known for his book ""The Psychology of Money,"" where he delves into how psychology affects financial decision-making. Housel's work emphasizes the importance of behavior in investing, offering insightful, accessible advice on managing money wisely and understanding market trends.",https://www.youtube.com/watch?v=a8gY959aB6E,https://www.youtube.com/watch?v=k1IxOthicsY,https://www.youtube.com/watch?v=vOvLFT4v4LQ,https://docs.google.com/document/d/11jGqnEuHiWqKPTrqGoN7wrm4edUK7z6NiV-2R8RvvpY/edit,,tesi,i-i-,unseelie,0,low,low,,male,-1,-1,-1,,"juan_e._sandoval | calin_copil | ash_rose",7,7,7,7,4,,2,2,7,,4,2,2,4,4,,2,2,2,2,7,7,4,7,7,,,2,,2,7,2,4,7,4,7,7,7,4,,2,,,,4,4,,2,2,2,2,,4,,,,7,7,7,2,2,,4,,2,,,,4,4
"Angel Olsen","Calin Copil","Angel Olsen, an American singer-songwriter, has captured audiences with her ethereal voice and emotive lyrics. Born on January 22, 1987, in St. Louis, Missouri, she started her career as a backing singer for Bonnie ""Prince"" Billy before embarking on a solo journey. Her music - a blend of folk, rock, and indie - explores themes of love, loss, and self-discovery. Albums like ""Burn Your Fire for No Witness"" and ""All Mirrors"" showcase her ability to weave haunting melodies with introspective storytelling, solidifying her place in the indie music scene.",https://www.youtube.com/watch?v=e2xQ30_Q0C8,https://www.youtube.com/watch?v=Wk1D8YWhQ8g,https://www.youtube.com/watch?v=c6F3SiGKZBM,https://docs.google.com/document/d/1lI1Nj02pScFcDuvmIYjtehpT8SxKhKowyL1x5_F6SRA/edit,,fise,ii--,neutral,1,high,low,"I--- (3rd vid). Alt type: TiSe",female,1980s,north_america,white/european,,"juan_e._sandoval | calin_copil",4,7,4,4,2,2,2,4,4,,2,7,2,4,2,,,2,4,,2,2,2,2,4,4,4,4,4,7,4,4,4,4,0,2,2,2,2,2,0,,4,2,2,4,0,4,7,2,7,7,4,2,4,7,,4,,,2,,,,4,2,4,,,2
"""Weird Al"" Yankovic","Sierra Schwartz","""Weird Al"" Yankovic, born Alfred Matthew Yankovic on October 23, 1959, is an iconic figure in the world of music and comedy. Renowned for his humorous parodies of popular songs, Yankovic has entertained audiences for decades with his unique blend of wit and musical talent. With a career spanning over four decades, he has released numerous albums, won multiple Grammy Awards, and earned a dedicated fanbase worldwide. Beyond his musical prowess, Yankovic is also a writer, actor, and director, showcasing his versatility and creativity across various mediums",https://www.youtube.com/watch?v=ETyCK9mqhDI&t=523s,https://www.youtube.com/watch?v=3-lIpSO_lBs,https://www.youtube.com/watch?v=mSQm6pDBiYw&t=35s,https://docs.google.com/document/d/1na66Z1ihSk8hQW9v9Ob9azhyn-lu2o4EagZ0FBXOjuk/edit,,nefi,i-i-,seelie,0,low,low,,male,1950s,north_america,white/european,,"juan_e._sandoval | ash_rose | luke_connolly",2,2,4,4,2,4,4,4,7,4,4,4,4,4,7,2,2,2,2,,4,4,4,7,4,2,2,2,,2,4,7,4,4,2,4,4,2,4,,,,,,2,2,,,,,,,2,,,,7,4,7,7,4,2,7,7,4,4,,0,2,0
"John von Neumann","Juan E. Sandoval","John von Neumann was a Hungarian-American mathematician, physicist, computer scientist, and polymath, renowned for his work in a variety of fields including quantum mechanics, functional analysis, set theory, economics, computer science, and statistics. Born in Budapest in 1903, von Neumann displayed extraordinary intellectual capacity from an early age, contributing foundational work to several disciplines. He played a pivotal role in the development of the digital computer and game theory, profoundly influencing modern computing and economics. Von Neumann's legacy includes the von Neumann architecture, a cornerstone of today's computer systems.",https://www.youtube.com/watch?v=vLbllFHBQM4,https://www.youtube.com/watch?v=IiA6vUkSTSw,https://www.youtube.com/watch?v=vQp70uqsBV4,https://docs.google.com/document/d/13tXnj-cObu0G6n15REzLU-WiTNVrrUxlGN2SMP4v3AA/edit?usp=sharing,,nefi,i-i-,seelie,1,medium,low,"NeTi l-l-",male,1900s,eastern_europe,jewish,,"juan_e._sandoval | bella_hershkoviz | luke_connolly",2,,4,,,4,7,7,4,7,7,7,7,,4,,,4,,,4,4,,7,,2,,,,,2,2,4,4,,4,4,,,4,4,2,2,,,,,,4,,2,,2,2,,,4,7,4,,4,4,4,,7,4,2,,,
"Max Planck","Juan E. Sandoval","Max Planck (1858-1947) was a German physicist whose groundbreaking work in the field of quantum mechanics earned him the Nobel Prize in Physics in 1918. Planck is best known for his quantum theory, which introduced the idea that energy is quantized, fundamentally changing the way we understand the physical world. This theory proposed that energy is emitted in discrete units called quanta, a concept that became the foundation for quantum physics. Planck's work laid the groundwork for future physicists, including Albert Einstein, to further develop the field of quantum mechanics. His contributions to physics have made him one of the most important figures in the scientific community, influencing the direction of modern physics.",https://www.youtube.com/watch?v=69xlaR6Rbqg&ab_channel=Nemvus,https://www.youtube.com/watch?v=5mwHXBn6mcM&t=1147s&ab_channel=QuantenPhysik,https://www.youtube.com/watch?v=Z6VyxoymXcQ,https://docs.google.com/document/d/1T1sOiHhpO7XP8GCRoazCQ2r59jnsWfMUT0e9pzW6I-o/edit?usp=sharing,,site,i---,neutral,4,medium,low,SiFe,male,1800s,western_europe,white/european,,"juan_e._sandoval | calin_copil | bella_hershkoviz",2,,2,,,4,7,4,7,4,2,4,2,,,7,7,4,,7,2,4,,4,,2,,,0,7,4,4,7,4,2,2,2,4,,2,4,2,2,2,2,,0,4,,2,,,4,4,,,7,4,7,2,4,,2,,2,,,2,2,4
"Sierra Schwartz","Juan E. Sandoval","Sierra is a deeply reflective and emotionally vibrant person who combines a unique blend of quirky humor and thoughtfulness in her outlook on life. Sierra's engagement with life showcases a balance between seeking new experiences, taking risks, and advocating values of compassion and sensitivity, such as in a desire to spread mental health awareness in education systems. She navigates life with a commitment to living in harmony with her principles and always striving to make a positive and joyous impact on the world and the people in it.",https://www.youtube.com/watch?v=0L66Tx-klOE,https://www.youtube.com/watch?v=KRIIgndAPXw,https://www.youtube.com/watch?v=ByleBsqmuFA,https://docs.google.com/document/d/1MHFOm1t_WJTK5nhYol_j2yikkHoe1zLw6X0KoLACRgA/edit,,fine,ii--,seelie,1,,,,female,-1,north_america,white/european,,"juan_e._sandoval | calin_copil | bella_hershkoviz",4,7,,2,4,2,,4,2,,7,4,4,4,,2,2,2,,,,,,2,4,7,7,4,2,7,2,7,4,7,,,,4,4,,,,,,,4,,,,,7,,,,,,4,7,,,7,,4,,4,7,4,,,
"Nadežda K","Juan E. Sandoval","Nadežda, a psychology student, is a deeply reflective individual with a strong sense of empathy, particularly towards animals. She expresses a profound disdain for the cruelty found in equestrian sports, advocating for the well-being and humane treatment of horses. Nadežda values simplicity and authenticity, as shown in her poetic engagement with life's fundamental truths and her interactions with animals. Her conversations reveal a person who is thoughtful about societal issues, personal growth, and the importance of living in harmony with one's principles and the natural world.",https://www.youtube.com/watch?v=OmFWcsVydjw&ab_channel=konadia,https://www.youtube.com/watch?v=ajKPWACyFkg&ab_channel=konadia,https://www.youtube.com/watch?v=NPhXAzzoSQQ&ab_channel=konadia,https://docs.google.com/document/d/1d9ij-m7BhV88S-Rel8ZILnfpUdRtZuMaZk_JTMk69m4/edit?usp=sharing,,fine,i---,seelie,1,high,low,TiNe,female,-1,eastern_europe,white/european,,"juan_e._sandoval | bella_hershkoviz",7,7,2,2,4,,,2,2,,2,7,2,2,0,,2,2,2,,2,,,2,4,7,2,4,4,7,2,2,4,4,2,2,2,7,0,,4,2,2,2,4,4,,2,2,,4,2,,,,2,4,7,2,,7,,4,,2,4,7,,,
"Louis Tomlinson","Miriam Greenfield","Louis Tomlinson is a British singer-songwriter who gained prominence as a member of the internationally acclaimed band One Direction, formed during his appearance on ""The X Factor"" in 2010. Since the band's hiatus, Tomlinson has pursued a successful solo career, showcasing his versatility as an artist by blending pop and rock influences with introspective storytelling. With a dedicated fanbase and a commitment to his craft, Tomlinson remains a notable figure in the contemporary music scene.",https://www.youtube.com/watch?v=sARFGrD-2Bk,https://www.youtube.com/watch?v=F8RoG2co56g,https://www.youtube.com/watch?v=dygNUxqwigs,https://docs.google.com/document/d/1UN5Xe1PUgtN9yRwbCYpp0-7K83TU6L2hcVQOVoW9ddg/edit?usp=sharing,,seti,i---,adaptive,1,medium,low,,male,1990s,western_europe,white/european,,"calin_copil | peter_j._foy | sierra_rose",,,2,2,,7,4,4,4,4,4,7,4,7,4,,,4,2,,2,2,2,4,4,2,4,,2,2,2,,2,2,2,4,4,,2,2,7,4,4,2,4,4,2,2,4,4,2,2,7,4,7,7,,,4,4,2,4,2,2,4,2,2,2,0,0
"Niamh Adkins","Ahmad Aldroubi","Niamh Adkins, an Irish-born influencer, has garnered a significant following through her engaging content across various social media platforms. Beginning her digital journey as a YouTuber, Adkins quickly expanded her reach to platforms such as Instagram and TikTok, where her authenticity and relatability resonated with audiences worldwide.

Known for her down-to-earth demeanor and candid approach, Adkins has cultivated a loyal following drawn to her genuine personality. Her content spans a range of topics, including lifestyle, fashion, beauty, and travel, reflecting her diverse interests and passions.

Beyond her role as an influencer, Adkins has collaborated with numerous brands, leveraging her platform to promote products while maintaining transparency and integrity in her endorsements.
",https://www.youtube.com/watch?v=tAS7Ak9Rltw,https://www.youtube.com/watch?v=PFKJkUndFcg,,https://docs.google.com/document/d/1OnqbiblHghV7WsVLe_FRQXUeE02uoQFKgm4WL_IBKRI/edit?usp=sharing,,sefi,ii--,neutral,0,low,low,"SeFi III-",female,1990s,western_europe,white/european,,"juan_e._sandoval | calin_copil | peter_j._foy | ahmad_aldroubi",4,4,4,4,0,4,7,7,4,7,7,7,7,7,7,2,4,4,2,2,4,2,2,4,2,4,4,4,4,4,4,7,7,7,4,4,7,0,7,4,,,2,2,4,2,,2,7,7,7,7,7,7,4,4,,,,2,2,,2,2,2,2,4,4,4,2
"Khabib Nurmagomedov","Calin Copil","Khabib Nurmagomedov is a retired Russian mixed martial artist and the former UFC Lightweight Champion. Born on September 20, 1988, in Dagestan, Russia, he is renowned for his expertise in sambo, judo, and wrestling. Nurmagomedov retired with an undefeated record of 29-0, making him one of the greatest fighters in the history of MMA. His fighting style and discipline in training are widely admired.",https://www.youtube.com/watch?v=iJApCdxtYKg&list=WL&index=4,https://www.youtube.com/watch?v=JV9P_-3evpc,https://www.youtube.com/watch?v=hFxk0fPc5MQ&list=WL&index=2,https://docs.google.com/document/d/1evQrq_TsfgGFighGb-hTeKBedhXDCeuVIgbzMk8lS1E/edit?usp=sharing,,seti,i-ii,neutral,1,low,low,,male,1980s,eastern_europe,white/european,,"calin_copil | peter_j._foy",2,2,2,2,,4,4,7,4,4,4,4,7,4,2,4,4,2,2,4,2,2,2,7,4,2,2,0,2,2,2,,,,,,,,,4,7,4,7,7,2,4,4,,2,2,2,4,7,4,4,7,7,4,4,,,,,,2,,,2,2,4
"Cenk Uygur","Peter Foy","Cenk Uygur, born March 21, 1970, is a Turkish-American political commentator, lawyer, and progressive activist. He is best known as the founder of The Young Turks (TYT), an online progressive news network. Uygur's commentary often focuses on liberal and progressive political issues, with a strong emphasis on social justice, corporate corruption, and government accountability. Through TYT, he has become a prominent voice in online media, advocating for progressive policies and political reform.",https://www.youtube.com/watch?v=1_PO-F3scQc,https://www.youtube.com/watch?v=O9Vi3ke3gWw,https://www.youtube.com/watch?v=9TUyMtEIms4,https://docs.google.com/document/d/17Hf8HfsJs9fYnwTed29GYUTcZ9Mkf0dqpZFFzG8-UFg/edit,publish,teni,i---,unseelie,,low,low,,male,1970s,north_america,turkic,,"calin_copil | peter_j._foy | sierra_rose",4,7,7,7,4,,,2,2,2,,,2,2,4,2,2,0,,4,7,7,2,7,7,,,,,,7,7,7,7,4,7,7,2,2,2,,,2,,4,,,,4,7,4,2,4,7,2,,,2,2,,,,,2,4,,,,7,7
"Diego Simeone","Ahmad Aldroubi","Diego Simeone, born April 28, 1970, in Buenos Aires, Argentina, is a former professional footballer turned coach. Known for his combative style as a player, he enjoyed a successful career at clubs including Atlético Madrid and Inter Milan. As a coach, he achieved significant success with Atlético Madrid, winning multiple trophies.",https://www.youtube.com/watch?v=c1W9TzJJLYc&pp=ygUYZGllZ28gc2ltZW9uZSBpbnRlcnZpZXcg,https://www.youtube.com/watch?v=Mhn8ANZ0ysM,https://www.youtube.com/watch?v=-fMZzIlQJe4,,,neti,i-ii,adaptive,0,low,low,"FeSi III-",male,1970s,latin_america,hispanic/latino,,"juan_e._sandoval | calin_copil | peter_j._foy | miriam_greenfield | ahmad_aldroubi",4,2,4,4,2,4,4,4,4,7,7,4,4,4,7,4,7,4,2,4,7,7,4,7,4,,2,0,0,2,2,2,2,4,4,0,4,0,0,7,7,4,4,4,4,2,2,2,,,,,2,2,2,2,7,7,7,4,2,2,2,0,4,4,4,2,4,2
"Caspar Lee","Ahmad Aldroubi","Caspar Lee, born on April 24, 1994, in London, England, is a prominent YouTube personality. Lee gained popularity through his comedic videos and vlogs uploaded to his YouTube channel, which he started in 2011. He initially gained attention for his collaborations with fellow YouTubers such as Joe Sugg and Zoella. Lee's content often features humor, challenges, and personal anecdotes, appealing to a broad audience. Over the years, he has amassed millions of subscribers and followers across various social media platforms. Beyond YouTube, Lee has ventured into acting, appearing in films and television shows. He has also launched his own merchandise line and engaged in philanthropic efforts. Lee's success as a YouTube personality has established him as a prominent figure in the online entertainment industry, with his influence extending beyond the digital realm.",https://www.youtube.com/watch?v=tDe4tDLx48E&pp=ygUUY2FzcGFyIGxlZSBpbnRlcnZpZXc,https://www.youtube.com/watch?v=rpudGIVSB-c&pp=ygUUY2FzcGFyIGxlZSBpbnRlcnZpZXc,https://www.youtube.com/watch?reload=9&v=NyANbDzVzk0,https://docs.google.com/document/d/1uaBJpTcGIaXymWCvkiGdmhSEa6-oG7mqnVFHAM8Sn68/edit?usp=sharing,,neti,ii--,adaptive,0,,,,male,1990s,sub-sahara_africa,white/european,,"sierra_rose | luke_connolly | ahmad_aldroubi",2,2,2,4,0,2,7,4,4,4,4,7,7,4,4,2,4,4,2,2,2,2,2,4,4,2,4,2,4,4,4,2,2,4,2,2,2,0,2,4,4,4,4,4,4,4,,4,2,0,4,2,2,4,0,0,4,4,2,4,7,4,7,4,7,7,7,0,0,0
"H.R. Giger","Calin Copil","H.R. Giger was a Swiss painter, sculptor, and set designer known for his distinctive style blending human forms with mechanical elements, creating haunting, biomechanical landscapes. His work, often categorized as part of the surrealistic and dark fantasy genres, gained worldwide fame with his design for the creature in Ridley Scott's 1979 film, ""Alien."" Giger's art is characterized by its intricate detail, unsettling organic and inorganic synthesis, and themes of dystopia and human-machine interfaces.",https://www.youtube.com/watch?v=oY9tkwZkpEY,https://www.youtube.com/watch?v=83kJOl06ikk,https://www.youtube.com/watch?v=qTahHBYeyXI,https://docs.google.com/document/d/1VE2CoxBbBm25e2wHfVH3Ytos4gRpS5FUaT3RzX9RRdI/edit,,nite,i--i,seelie,2,low,low,"SeFi I--I",male,1940s,western_europe,white/european,,"juan_e._sandoval | calin_copil | ash_rose",,,2,2,,7,7,4,4,2,2,7,4,2,2,4,4,7,2,2,2,2,,4,4,,2,,2,2,7,4,7,2,,2,2,2,,,,,2,,,,,,2,7,4,4,7,7,7,2,,,,,,,,,2,4,4,,,2
"Elon Musk","Juan E. Sandoval","Elon Musk, born in 1971 in South Africa, is a visionary entrepreneur and inventor known for founding SpaceX in 2002 and co-founding Tesla, Inc., where he serves as CEO and lead designer. He also co-founded PayPal and Neuralink, and founded The Boring Company. Musk's ambitions include reducing global warming through sustainable energy production and consumption, and establishing a human colony on Mars to ensure the survival of humanity. His innovative ventures have significantly impacted the automotive, space, and renewable energy industries, making him one of the most influential figures in the tech world.",https://www.youtube.com/watch?v=q9icMJ48z6U,https://www.youtube.com/watch?v=L-s_3b5fRd8,https://www.youtube.com/watch?v=ZuKUOBvIKE4,https://docs.google.com/document/d/1cXAQDhoexb_QEuCOPi9myKACKRgx03fXRJEv-BfpJFw/edit?usp=sharing,publish,tise,iiii,directive,2,low,low,"TiSe l-ll",male,1970s,sub-sahara_africa,white/european,,"juan_e._sandoval | luke_connolly | ahmad_aldroubi",4,4,2,2,4,2,2,2,2,2,2,7,2,4,,2,4,7,2,4,7,7,2,,2,2,7,4,7,7,,,2,2,,2,2,,,7,7,4,4,7,4,4,4,,4,4,7,7,4,7,4,2,2,,,,2,,2,,4,2,,4,,7
