,Sample Name,Vultologist,Type,Development,Emotions,Fallen Affect,J Signal Mixing,P Signal Mixing,Sex,Age Range,Geography,Ethnicity,R1 Rigid Posture,R2 Face Centric,R3 Punctuated Motions,R4 Vertical Movements,R5 Subordinate Fluidity,F1 Fluid Posture,F2 Eye Centric,F3 Gliding Motions,F4 Horizontal Movements,F5 Subordinate Rigidity,PF1 Restless Momentum,PF2 Toggling Eyes,PF3 Body Swaying,PF4 Casual Hands,PF5 Alert Perk Ups,RF1 Viscous Inertia,RF2 Fixed Gaze,RF3 Diagonal Eye Drifts,RF4 Searching Scowling,RF5 Narrow Head Zoning,PR1 Head Pushes,PR2 Head Shakes,PR3 Shoulder Shrugs,PR4 Fluent Articulation,PR5 Projecting Hands,RR1 Poised Receding,RR2 Disengaging Eyes,RR3 Exerted Pushes,RR4 Momentum Halting,RR5 Meticulous Hands,CA1 Taut Nasolabial Area,CA2 Vertical Snarling Smiles,CA3 Four Point Pulling,CA4 Wobbling Lips,CA5 Asymmetrical Smirks,CA6 Sassy Movements,CA7 Plateau Velocity,CA8 Nasal Breathy Voice,CA9 Grasping Hands,MS1 Lax Nasolabial Area,MS2 Horizontal Curtain Smiles,MS3 Two Point Pulling,MS4 Symmetrical Lips,MS5 Emotional Neutralization,MS6 Coordinated Movements,MS7 Parabolic Velocity,MS8 Laryngeal Faint Voice,MS9 Puppeteer Hands,GR1 Taut Preseptal Area,GR2 Lax Pretarsal Area,GR3 Taut Outer Edges,GR4 Intense Scowling,GR5 Pointed Eye Toggles,GR6 Eye Head Parallel Motion,GR7 Grounding Effect,GR8 Bodily Awareness,SU1 Lax Preseptal Area,SU2 Taut Pretarsal Area,SU3 Lax Outer Edges,SU4 Concerned Scowling,SU5 Brushstrokes Eye Toggles,SU6 Eye Head Trailing Motions,SU7 Levity Effect,SU8 Quirky Skits,EU1 Responsive Nodding,EU2 Polite Smiling,EU3 Bashful Body Movements,EG1 Upset Mouth Tension,EG2 Assertive Pushing,EG3 Stern Expressions,sum,Lead Energetic,Quadra,Candid Score,Measured Score,Grounded Score,Suspended Score,J-Axis Coordinate,P-Axis Coordinate
43,Sofiane Pamart,Calin Copil,seti,i---,neutral,0.0,low,low,male,1990s,western_europe,other/unknown,0.0,2.0,2.0,2.0,0.0,7.0,7.0,4.0,7.0,2.0,4.0,7.0,7.0,7.0,7.0,4.0,2.0,2.0,0.0,0.0,4.0,2.0,0.0,4.0,4.0,2.0,2.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,4.0,4.0,4.0,2.0,4.0,4.0,2.0,2.0,7.0,7.0,4.0,0.0,4.0,4.0,4.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,171.0,Pe,Beta,2.0,28.0,32.0,6.0,0.8666666666666667,-0.6842105263157895
46,Tom Holland,Calin Copil,neti,i-i-,neutral,0.0,low,medium,male,1990s,western_europe,white/european,4.0,2.0,2.0,4.0,0.0,7.0,7.0,4.0,7.0,4.0,2.0,7.0,7.0,7.0,4.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,7.0,4.0,2.0,2.0,2.0,2.0,4.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,7.0,4.0,4.0,2.0,2.0,4.0,4.0,2.0,0.0,2.0,4.0,2.0,0.0,4.0,2.0,2.0,2.0,4.0,2.0,4.0,7.0,4.0,2.0,4.0,0.0,7.0,7.0,2.0,0.0,0.0,2.0,209.0,Pe,Alpha,8.0,29.0,18.0,27.0,0.5675675675675675,0.2
48,Jesse Eisenberg,Calin Copil,nefi,iii-,neutral,1.0,medium,low,male,1980s,north_america,jewish,4.0,2.0,2.0,7.0,0.0,4.0,4.0,4.0,7.0,7.0,4.0,7.0,7.0,7.0,4.0,0.0,2.0,2.0,2.0,2.0,7.0,7.0,2.0,4.0,7.0,2.0,4.0,4.0,2.0,7.0,2.0,2.0,4.0,2.0,4.0,4.0,7.0,7.0,2.0,2.0,4.0,2.0,4.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,4.0,2.0,2.0,7.0,7.0,4.0,7.0,7.0,2.0,4.0,2.0,4.0,4.0,0.0,2.0,2.0,2.0,245.0,Pe,Delta,34.0,20.0,12.0,40.0,-0.25925925925925924,0.5384615384615384
51,Christoph Waltz,Calin Copil,tesi,i-ii,neutral,0.0,medium,medium,male,1950s,western_europe,white/european,7.0,7.0,4.0,7.0,7.0,4.0,2.0,4.0,7.0,0.0,2.0,4.0,4.0,7.0,4.0,4.0,0.0,2.0,2.0,4.0,7.0,7.0,4.0,4.0,7.0,2.0,4.0,2.0,4.0,4.0,2.0,4.0,7.0,2.0,2.0,7.0,7.0,2.0,2.0,4.0,4.0,2.0,4.0,4.0,2.0,2.0,0.0,4.0,2.0,7.0,0.0,0.0,2.0,2.0,2.0,0.0,4.0,0.0,4.0,2.0,4.0,2.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,243.0,Je,Delta,35.0,26.0,15.0,24.0,-0.14754098360655737,0.23076923076923078
52,N. K. Jemisin,Calin Copil,nite,iiii,guarded,2.0,low,medium,female,1970s,north_america,black/african,0.0,4.0,2.0,2.0,0.0,4.0,2.0,4.0,4.0,4.0,2.0,7.0,2.0,4.0,2.0,7.0,4.0,2.0,2.0,4.0,4.0,2.0,2.0,4.0,4.0,4.0,2.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,4.0,0.0,4.0,4.0,0.0,4.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,4.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,4.0,174.0,Pi,Gamma,22.0,10.0,20.0,12.0,-0.375,-0.25
53,Fernanda Pistelli,Peter Foy,fise,ii--,unguarded,0.0,low,low,female,1990s,latin_america,other/unknown,7.0,4.0,2.0,4.0,2.0,2.0,0.0,2.0,2.0,0.0,4.0,4.0,7.0,7.0,4.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,7.0,4.0,7.0,4.0,7.0,4.0,7.0,7.0,2.0,2.0,4.0,4.0,2.0,0.0,2.0,2.0,0.0,4.0,0.0,2.0,4.0,0.0,0.0,7.0,2.0,7.0,2.0,4.0,4.0,4.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,7.0,0.0,0.0,0.0,0.0,188.0,Ji,Gamma,32.0,14.0,32.0,6.0,-0.391304347826087,-0.6842105263157895
54,Darren Slade,Calin Copil,tesi,iiii,guarded,2.0,low,low,male,-1,north_america,white/european,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,0.0,2.0,2.0,4.0,2.0,7.0,4.0,2.0,2.0,4.0,4.0,7.0,2.0,0.0,7.0,7.0,4.0,2.0,2.0,2.0,7.0,7.0,7.0,7.0,7.0,2.0,2.0,4.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,4.0,2.0,0.0,2.0,2.0,0.0,0.0,7.0,2.0,7.0,7.0,2.0,2.0,4.0,2.0,2.0,4.0,0.0,4.0,4.0,7.0,224.0,Je,Delta,47.0,4.0,10.0,33.0,-0.8431372549019608,0.5348837209302325
55,Mark Z. Danielewski,Calin Copil,sife,iiii,neutral,1.0,low,low,male,1960s,north_america,white/european,2.0,2.0,4.0,4.0,0.0,4.0,2.0,2.0,7.0,4.0,0.0,4.0,2.0,7.0,7.0,4.0,7.0,2.0,7.0,7.0,4.0,2.0,2.0,7.0,7.0,4.0,2.0,4.0,4.0,7.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,7.0,4.0,4.0,2.0,7.0,7.0,7.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,7.0,4.0,7.0,7.0,7.0,2.0,2.0,0.0,4.0,4.0,0.0,2.0,2.0,0.0,224.0,Pi,Alpha,6.0,44.0,4.0,36.0,0.76,0.8
57,Maxime Vachier-Lagrave,Peter Foy,nife,i-ii,unguarded,0.0,low,,male,1990s,western_europe,white/european,0.0,2.0,0.0,0.0,0.0,7.0,4.0,4.0,2.0,4.0,4.0,2.0,4.0,7.0,4.0,7.0,7.0,4.0,0.0,4.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,7.0,2.0,7.0,2.0,0.0,0.0,2.0,4.0,2.0,0.0,0.0,0.0,7.0,7.0,2.0,4.0,4.0,2.0,7.0,2.0,2.0,7.0,4.0,4.0,2.0,4.0,4.0,2.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,4.0,0.0,2.0,0.0,0.0,182.0,Pi,Beta,10.0,37.0,31.0,2.0,0.574468085106383,-0.8787878787878788
58,Thiago Silva,Calin Copil,tise,i---,neutral,1.0,low,medium,male,1980s,latin_america,hispanic/latino,4.0,4.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,4.0,4.0,2.0,0.0,2.0,4.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,4.0,0.0,2.0,7.0,0.0,2.0,7.0,2.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,4.0,2.0,7.0,0.0,0.0,7.0,0.0,2.0,2.0,7.0,0.0,7.0,2.0,2.0,2.0,7.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,0.0,4.0,153.0,Ji,Beta,8.0,31.0,24.0,13.0,0.5897435897435898,-0.2972972972972973
59,Conor McGregor,Calin Copil,seti,i-i-,guarded,1.0,low,low,male,1990s,western_europe,white/european,2.0,2.0,2.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,2.0,7.0,7.0,7.0,4.0,2.0,2.0,0.0,0.0,2.0,4.0,4.0,7.0,7.0,4.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,4.0,4.0,7.0,2.0,4.0,4.0,0.0,0.0,4.0,2.0,7.0,0.0,7.0,7.0,7.0,7.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,4.0,4.0,194.0,Pe,Beta,4.0,27.0,41.0,10.0,0.7419354838709677,-0.6078431372549019
60,Chris Martin,Sierra Schwartz,seti,i---,unguarded,0.0,low,low,male,1970s,western_europe,white/european,0.0,0.0,2.0,2.0,0.0,7.0,4.0,4.0,4.0,7.0,4.0,4.0,4.0,4.0,7.0,4.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,0.0,2.0,4.0,4.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,7.0,7.0,4.0,2.0,4.0,4.0,7.0,4.0,4.0,2.0,4.0,2.0,7.0,4.0,7.0,7.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,4.0,7.0,2.0,0.0,0.0,0.0,198.0,Pe,Beta,4.0,43.0,37.0,10.0,0.8297872340425532,-0.574468085106383
61,Neil Gaiman,Calin Copil,sife,i---,neutral,1.0,low,low,male,1960s,western_europe,white/european,0.0,2.0,0.0,2.0,0.0,7.0,2.0,7.0,4.0,0.0,0.0,4.0,4.0,2.0,2.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,7.0,7.0,4.0,4.0,4.0,0.0,4.0,2.0,0.0,2.0,0.0,0.0,0.0,4.0,141.0,Pi,Alpha,4.0,26.0,2.0,32.0,0.7333333333333333,0.8823529411764706
62,Chris Stuckmann,Calin Copil,site,i--i,neutral,2.0,low,low,male,1980s,north_america,white/european,0.0,2.0,2.0,2.0,0.0,4.0,2.0,4.0,4.0,0.0,2.0,7.0,2.0,2.0,2.0,7.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,2.0,4.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,0.0,4.0,7.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,142.0,Pi,Delta,22.0,10.0,2.0,26.0,-0.375,0.8571428571428571
63,Shérine,Juan E. Sandoval,fise,ii--,unguarded,1.0,low,medium,female,-1,western_europe,other/unknown,7.0,4.0,0.0,0.0,0.0,4.0,2.0,4.0,2.0,0.0,7.0,7.0,7.0,2.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,2.0,2.0,0.0,0.0,7.0,7.0,0.0,7.0,7.0,4.0,4.0,2.0,4.0,0.0,2.0,2.0,7.0,0.0,0.0,7.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,7.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,7.0,0.0,4.0,4.0,2.0,0.0,0.0,0.0,171.0,Ji,Gamma,25.0,11.0,24.0,14.0,-0.3888888888888889,-0.2631578947368421
64,Kate Siegel,Calin Copil,fesi,i-i-,unguarded,0.0,medium,medium,female,1980s,north_america,jewish,4.0,4.0,2.0,7.0,7.0,2.0,2.0,2.0,7.0,0.0,4.0,4.0,7.0,2.0,7.0,0.0,0.0,2.0,4.0,2.0,7.0,4.0,2.0,7.0,7.0,4.0,2.0,2.0,2.0,4.0,4.0,2.0,4.0,4.0,2.0,2.0,0.0,4.0,0.0,0.0,7.0,4.0,2.0,2.0,4.0,4.0,0.0,7.0,2.0,2.0,7.0,2.0,2.0,2.0,0.0,0.0,2.0,4.0,0.0,4.0,4.0,2.0,4.0,7.0,2.0,7.0,4.0,0.0,0.0,2.0,221.0,Je,Alpha,22.0,30.0,17.0,27.0,0.15384615384615385,0.22727272727272727
65,Elvis Presley,Juan E. Sandoval,sefi,i--i,unguarded,2.0,low,low,male,1930s,north_america,white/european,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,0.0,7.0,2.0,7.0,7.0,0.0,4.0,4.0,4.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,7.0,4.0,4.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,4.0,7.0,4.0,0.0,4.0,4.0,4.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,4.0,149.0,Pe,Gamma,23.0,8.0,29.0,4.0,-0.4838709677419355,-0.7575757575757576
66,Paul Simon,Calin Copil,sife,i-i-,neutral,3.0,low,low,male,1940s,north_america,jewish,0.0,2.0,0.0,2.0,0.0,4.0,4.0,2.0,4.0,0.0,0.0,4.0,2.0,2.0,2.0,7.0,4.0,7.0,4.0,7.0,2.0,4.0,0.0,2.0,2.0,7.0,7.0,4.0,7.0,7.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,2.0,2.0,4.0,4.0,4.0,7.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,2.0,4.0,7.0,4.0,2.0,2.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,180.0,Pi,Alpha,10.0,31.0,4.0,25.0,0.5121951219512195,0.7241379310344828
68,Lana Del Rey,Juan E. Sandoval,fise,ii--,unguarded,2.0,low,medium,female,1980s,north_america,white/european,7.0,7.0,0.0,0.0,4.0,2.0,0.0,4.0,0.0,0.0,4.0,4.0,7.0,2.0,0.0,0.0,4.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,7.0,7.0,2.0,7.0,2.0,4.0,4.0,7.0,7.0,0.0,2.0,2.0,7.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,7.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,4.0,0.0,2.0,2.0,2.0,2.0,4.0,0.0,0.0,0.0,158.0,Ji,Gamma,33.0,4.0,23.0,12.0,-0.7837837837837838,-0.3142857142857143
69,Francesca Eastwood,Juan E. Sandoval,fise,ii--,unguarded,0.0,,,female,1990s,north_america,jewish,4.0,7.0,4.0,4.0,4.0,2.0,0.0,2.0,2.0,0.0,4.0,4.0,4.0,4.0,2.0,0.0,2.0,4.0,2.0,0.0,2.0,4.0,2.0,2.0,2.0,7.0,4.0,4.0,7.0,7.0,4.0,4.0,7.0,4.0,2.0,2.0,2.0,4.0,0.0,2.0,7.0,0.0,2.0,2.0,4.0,4.0,2.0,2.0,7.0,2.0,7.0,4.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,2.0,0.0,4.0,4.0,2.0,0.0,0.0,0.0,194.0,Ji,Gamma,29.0,25.0,24.0,10.0,-0.07407407407407407,-0.4117647058823529
70,Dionna Chambers,Calin Copil,nefi,i-i-,unguarded,0.0,low,medium,female,-1,north_america,black/african,2.0,4.0,2.0,4.0,0.0,4.0,4.0,7.0,7.0,4.0,7.0,7.0,7.0,4.0,7.0,0.0,0.0,2.0,4.0,0.0,4.0,4.0,4.0,7.0,7.0,2.0,2.0,2.0,2.0,2.0,7.0,7.0,7.0,7.0,0.0,7.0,7.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,4.0,2.0,4.0,2.0,2.0,2.0,0.0,2.0,2.0,4.0,0.0,4.0,7.0,4.0,7.0,7.0,4.0,4.0,4.0,0.0,2.0,4.0,240.0,Pe,Delta,53.0,4.0,18.0,35.0,-0.8596491228070176,0.32075471698113206
71,Tim Schwartz,Calin Copil,tine,iii-,unguarded,1.0,medium,low,male,-1,north_america,white/european,4.0,4.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,4.0,4.0,2.0,4.0,2.0,4.0,2.0,4.0,4.0,4.0,2.0,2.0,2.0,0.0,0.0,7.0,7.0,0.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,4.0,4.0,4.0,2.0,4.0,0.0,0.0,4.0,2.0,0.0,0.0,4.0,0.0,2.0,0.0,2.0,2.0,4.0,4.0,0.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,4.0,0.0,0.0,4.0,165.0,Ji,Alpha,16.0,24.0,10.0,22.0,0.2,0.375
72,Hans Niemann,Juan E. Sandoval,nite,i---,guarded,2.0,low,low,male,2000s,north_america,other/unknown,0.0,0.0,2.0,0.0,0.0,7.0,7.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,4.0,7.0,4.0,0.0,4.0,2.0,4.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,7.0,4.0,0.0,2.0,4.0,0.0,0.0,4.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,7.0,7.0,7.0,0.0,2.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,7.0,154.0,Pi,Gamma,23.0,10.0,29.0,4.0,-0.3939393939393939,-0.7575757575757576
73,Vladimir Kramnik,Juan E. Sandoval,site,ii--,unguarded,3.0,low,high,male,1970s,north_asia,white/european,0.0,0.0,4.0,2.0,0.0,7.0,7.0,4.0,7.0,4.0,4.0,2.0,4.0,2.0,0.0,7.0,4.0,4.0,2.0,4.0,4.0,4.0,2.0,4.0,2.0,0.0,2.0,0.0,0.0,4.0,4.0,4.0,4.0,2.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,4.0,0.0,7.0,7.0,2.0,2.0,0.0,2.0,0.0,0.0,4.0,2.0,7.0,0.0,7.0,2.0,4.0,0.0,2.0,2.0,4.0,0.0,0.0,4.0,183.0,Pi,Delta,22.0,10.0,20.0,26.0,-0.375,0.13043478260869565
74,Tim Burton,Juan E. Sandoval,neti,i-i-,unguarded,5.0,medium,low,male,1950s,north_america,white/european,0.0,0.0,2.0,2.0,0.0,7.0,7.0,7.0,4.0,7.0,7.0,4.0,7.0,7.0,4.0,0.0,2.0,2.0,2.0,2.0,4.0,4.0,2.0,4.0,7.0,0.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,2.0,4.0,7.0,0.0,0.0,7.0,7.0,2.0,2.0,2.0,4.0,4.0,2.0,7.0,2.0,7.0,2.0,0.0,2.0,2.0,0.0,0.0,4.0,4.0,4.0,2.0,2.0,4.0,7.0,4.0,7.0,4.0,2.0,0.0,0.0,2.0,230.0,Pe,Alpha,23.0,37.0,15.0,31.0,0.23333333333333334,0.34782608695652173
75,Karl Popper,Juan E. Sandoval,sife,iii-,guarded,2.0,low,low,male,1900s,western_europe,jewish,2.0,0.0,4.0,2.0,0.0,4.0,7.0,7.0,7.0,4.0,0.0,4.0,4.0,2.0,0.0,7.0,4.0,7.0,4.0,7.0,7.0,4.0,0.0,4.0,4.0,4.0,2.0,4.0,7.0,7.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,2.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,7.0,7.0,4.0,7.0,4.0,4.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,7.0,200.0,Pi,Alpha,2.0,21.0,6.0,35.0,0.8260869565217391,0.7073170731707317
76,Bernardo Kastrup,Juan E. Sandoval,nite,ii-i,unguarded,2.0,medium,low,male,-1,western_europe,hispanic/latino,0.0,0.0,4.0,2.0,0.0,7.0,4.0,2.0,2.0,4.0,4.0,2.0,2.0,4.0,7.0,4.0,7.0,4.0,2.0,7.0,4.0,4.0,4.0,4.0,4.0,2.0,0.0,0.0,2.0,4.0,7.0,2.0,7.0,4.0,0.0,4.0,7.0,2.0,0.0,0.0,4.0,0.0,0.0,2.0,4.0,4.0,0.0,0.0,2.0,4.0,7.0,2.0,2.0,4.0,2.0,0.0,7.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,2.0,0.0,4.0,191.0,Pi,Gamma,33.0,14.0,23.0,11.0,-0.40425531914893614,-0.35294117647058826
77,Lionel Messi,Calin Copil,neti,i--i,unguarded,1.0,low,medium,male,1980s,latin_america,white/european,0.0,2.0,0.0,0.0,0.0,7.0,4.0,7.0,4.0,0.0,2.0,7.0,7.0,4.0,2.0,7.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,4.0,2.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,2.0,0.0,0.0,4.0,4.0,0.0,0.0,2.0,152.0,Pe,Alpha,8.0,22.0,14.0,24.0,0.4666666666666667,0.2631578947368421
78,Magnus Carlsen,Peter Foy,neti,i--i,neutral,0.0,low,low,male,1990s,western_europe,white/european,0.0,2.0,0.0,0.0,0.0,7.0,4.0,7.0,7.0,7.0,4.0,4.0,7.0,7.0,4.0,4.0,7.0,7.0,2.0,4.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,4.0,2.0,4.0,0.0,0.0,7.0,7.0,7.0,4.0,7.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,7.0,0.0,7.0,2.0,7.0,7.0,4.0,4.0,2.0,2.0,0.0,4.0,2.0,7.0,0.0,0.0,213.0,Pe,Alpha,14.0,38.0,13.0,35.0,0.46153846153846156,0.4583333333333333
79,Garry Kasparov,Calin Copil,teni,ii--,guarded,2.0,low,low,male,1960s,south_caucasus,jewish,4.0,7.0,4.0,7.0,7.0,0.0,2.0,4.0,4.0,0.0,2.0,2.0,4.0,4.0,2.0,2.0,4.0,7.0,4.0,4.0,7.0,7.0,4.0,4.0,7.0,0.0,2.0,2.0,2.0,4.0,7.0,4.0,4.0,4.0,0.0,7.0,7.0,4.0,7.0,0.0,0.0,2.0,2.0,2.0,4.0,4.0,0.0,2.0,2.0,4.0,4.0,4.0,7.0,7.0,2.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,4.0,4.0,7.0,232.0,Je,Gamma,44.0,16.0,30.0,8.0,-0.4666666666666667,-0.5789473684210527
80,Judit Polgar,Juan E. Sandoval,nite,i---,unguarded,0.0,low,low,female,1970s,eastern_europe,jewish,2.0,0.0,2.0,0.0,0.0,4.0,7.0,2.0,2.0,0.0,2.0,4.0,2.0,4.0,2.0,4.0,4.0,4.0,0.0,7.0,4.0,4.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,4.0,4.0,7.0,4.0,2.0,2.0,0.0,4.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,7.0,4.0,7.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,4.0,0.0,0.0,0.0,139.0,Pi,Gamma,27.0,10.0,26.0,2.0,-0.4594594594594595,-0.8571428571428571
83,Anthony Gonzalez (M83),Sierra Schwartz,nefi,iii-,unguarded,0.0,low,low,male,1980s,western_europe,white/european,2.0,0.0,2.0,2.0,0.0,7.0,4.0,7.0,4.0,4.0,4.0,4.0,7.0,4.0,2.0,2.0,2.0,2.0,4.0,2.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,2.0,2.0,4.0,7.0,4.0,4.0,2.0,2.0,4.0,4.0,2.0,4.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,4.0,2.0,0.0,2.0,0.0,4.0,0.0,2.0,2.0,0.0,7.0,7.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,2.0,2.0,0.0,0.0,202.0,Pe,Delta,33.0,12.0,10.0,36.0,-0.4666666666666667,0.5652173913043478
84,Aeona Lucia,Calin Copil,teni,iiii,neutral,0.0,low,low,female,1980s,north_america,other/unknown,7.0,7.0,4.0,7.0,7.0,4.0,4.0,7.0,7.0,0.0,4.0,7.0,7.0,4.0,2.0,2.0,4.0,7.0,4.0,2.0,7.0,4.0,2.0,4.0,7.0,7.0,4.0,2.0,2.0,7.0,4.0,4.0,7.0,7.0,4.0,7.0,4.0,4.0,4.0,0.0,0.0,2.0,0.0,2.0,4.0,4.0,0.0,0.0,7.0,4.0,7.0,4.0,7.0,4.0,2.0,4.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,2.0,2.0,255.0,Je,Gamma,45.0,12.0,39.0,4.0,-0.5789473684210527,-0.813953488372093
