Post Title,,Bio,Video URL,Video 2 URL,Video 3 URL,GIF Breakdown,Status,Type,Development,Emotions,Fallen Affect,J Signal Mixing,P Signal Mixing,Alternative,Sex,Age Range,Geography,Ethnicity,Checkbox,Checkbox 1,R1 Rigid Posture Copy,R2 Face Centric,R3 Punctuated Motions,R4 Vertical Movements,R5 Subordinate Fluidity,F1 Fluid Posture,F2 Eye Centric,F3 Gliding Motions,F4 Horizontal Movements,F5 Subordinate Rigidity,PF1 Restless Momentum,PF2 Toggling Eyes,PF3 Body Swaying,PF4 Casual Hands,PF5 Alert Perk Ups,RF1 Viscous Inertia,RF2 Fixed Gaze,RF3 Diagonal Eye Drifts,RF4 Searching Scowling,RF5 Narrow Head Zoning,PR1 Head Pushes,PR2 Head Shakes,PR3 Shoulder Shrugs,PR4 Fluent Articulation,PR5 Projecting Hands,RR1 Poised Receding,RR2 Disengaging Eyes,RR3 Exerted Pushes,RR4 Momentum Halting,RR5 Meticulous Hands,CA1 Taut Nasolabial Area,CA2 Vertical Snarling Smiles,CA3 Four Point Pulling,CA4 Wobbling Lips,CA5 Asymmetrical Smirks,CA6 Sassy Movements,CA7 Plateau Velocity,CA8 Nasal Breathy Voice,CA9 Grasping Hands,MS1 Lax Nasolabial Area,MS2 Horizontal Curtain Smiles,MS3 Two Point Pulling,MS4 Symmetrical Lips,MS5 Emotional Neutralization,MS6 Coordinated Movements,MS7 Parabolic Velocity,MS8 Laryngeal Faint Voice,MS9 Puppeteer Hands,GR1 Taut Preseptal Area,GR2 Lax Pretarsal Area,GR3 Taut Outer Edges,GR4 Intense Scowling,GR5 Pointed Eye Toggles,GR6 Eye Head Parallel Motion,GR7 Grounding Effect,GR8 Bodily Awareness,SU1 Lax Preseptal Area,SU2 Taut Pretarsal Area,SU3 Lax Outer Edges,SU4 Concerned Scowling,SU5 Brushstrokes Eye Toggles,SU6 Eye Head Trailing Motions,SU7 Levity Effect,SU8 Quirky Skits,EU1 Responsive Nodding,EU2 Polite Smiling,EU3 Bashful Body Movements,EG1 Upset Mouth Tension,EG2 Assertive Pushing,EG3 Stern Expressions
Brandon Cronenberg,Calin Copil,"Brandon Cronenberg is a Canadian filmmaker who has inherited his father David Cronenberg's penchant for body horror and psychological tension. Known for his distinctive style and exploration of provocative themes, he has gained recognition for his contributions to the science fiction horror genre, with notable films such as ""Antiviral"" (2012), ""Possessor"" (2020), and ""Infinity Pool"" (2023). Brandon's ability to craft visually striking, thought-provoking narratives has firmly established him as a prominent figure in contemporary cinema, earning him numerous accolades within the film industry. ",https://www.youtube.com/watch?si=XRMDW94UmzT8PknI&v=5E34NO_HRPU&feature=youtu.be,https://www.youtube.com/watch?v=otFL7AeX908,https://www.youtube.com/watch?v=SBc4Wg8Agws,,,sefi,i-i-,neutral,1,low,low,,male,1980s,north_america,white/european,,calin_copil | peter_j._foy,2,2,2,4,,7,7,4,7,7,4,7,7,7,4,,,4,0,2,4,2,,4,7,,2,2,2,4,4,4,4,4,2,4,7,2,4,,,,,2,4,2,,,4,2,4,,7,2,4,4,,2,,,2,,2,,4,2,2,2,,2
Liam Payne,Peter Foy,"Liam Payne is a British singer and songwriter who rose to fame as a member of the global sensation boy band One Direction, formed on the TV show ""The X Factor"" in 2010. Following the band's success, Payne embarked on a solo career, releasing music that often blends pop and R&amp;B influences. Beyond music, he's been involved in philanthropic work and is recognized for his fashion-forward style.",https://www.youtube.com/watch?v=u6WRdyPKvIM,https://www.youtube.com/watch?v=OAKvNB2L7ik,https://www.youtube.com/watch?v=Uux_L_pkKe4,,,neti,i-i-,adaptive,0,,low,,male,1990s,western_europe,white/european,,juan_e._sandoval | peter_j._foy,,2,2,2,,4,4,4,4,2,4,4,4,2,7,,,,4,,2,4,2,7,4,4,2,,,2,2,,,2,,,,,,7,7,7,7,2,4,4,7,,2,,2,2,,4,4,2,4,4,2,4,4,7,4,4,4,7,,,,2
Demetrius Holt,Calin Copil,"Demetrius Holt is a popular cosplayer known for portraying various superheroes and videogame characters, such as He-Man and Kratos. He is creating animated public service announcements (PSAs) using his He-Man cosplay to educate Black children. His main cosplay mission is to push for the proliferation of minorities within mainstream media. Demetrius is also a bodybuilder, actor, and producer.

",https://www.youtube.com/watch?v=owl4FzHJGj4,https://www.youtube.com/watch?v=VudbeetK4yg&feature=youtu.be,,,,seti,i-i-,adaptive,0,low,low,,male,1980s,western_europe,black/african,,juan_e._sandoval | calin_copil | peter_j._foy,2,2,2,4,,7,7,7,7,4,2,4,7,4,4,2,2,4,,,4,2,2,2,7,0,4,2,4,2,,,,2,,,,,,7,7,7,4,4,7,7,7,2,7,4,4,,4,4,2,2,,,,,,,,,2,2,2,,2,2
Bruce Springsteen,Juan E. Sandoval,"Bruce Springsteen, often referred to as ""The Boss,"" is an iconic American singer-songwriter and musician known for his poetic lyrics and distinctive blend of rock, folk, and Americana. Born on September 23, 1949, in Freehold, New Jersey, Springsteen rose to prominence in the 1970s with his E Street Band. His seminal album ""Born to Run"" (1975) captured the struggles and dreams of everyday Americans, a theme he has explored throughout his career. Notable albums like ""Born in the U.S.A."" (1984) have made him a commercial and critical success. A 20-time Grammy winner, Springsteen is also a recipient of the Presidential Medal of Freedom and a member of the Rock and Roll Hall of Fame.",https://www.youtube.com/watch?v=XKPchb8BkMo,https://www.youtube.com/watch?v=-eTNu_eef5I,https://www.youtube.com/watch?v=JSpkzjpoUvc,https://docs.google.com/document/d/1X-LonQgQt0_K6NlB4x-_8TgZarBTf_xFSAJf7dTFaAQ/edit,,seti,i--i,adaptive,3,low,medium,"NeTi, SiFe",male,1940s,north_america,white/european,,juan_e._sandoval | calin_copil | peter_j._foy | sierra_rose,,,2,2,,7,4,4,7,4,4,4,4,7,2,4,4,4,2,4,2,4,,,4,,,,,,2,,,2,,,,,,,7,4,4,4,,2,4,,4,7,2,4,4,7,7,2,4,2,7,,,,2,2,4,2,,,2,4
Cynthia Lennon,Juan E. Sandoval,"Cynthia Lennon was born on September 10, 1939, in Blackpool, England, and was best known as the first wife of John Lennon, a founding member of The Beatles. She met Lennon while they were both students at the Liverpool College of Art and their relationship blossomed amid the rise of The Beatles in the early 1960s. The couple married in 1962 and had one son, Julian. Cynthia played a supportive, albeit often overshadowed, role during a transformative period in music history. They divorced in 1968, but she remained in public life, writing memoirs and engaging in artistic endeavors until her death on April 1, 2015.",https://www.youtube.com/watch?v=gUiNMsEFt0A,https://www.youtube.com/watch?v=2CLQRAV8it4,https://www.youtube.com/watch?v=MmkvCii1u_E,https://docs.google.com/document/d/1u-IRAFOBscxMa-4jJcS7I-lQsCXrl5OXV6TtS-cpqyw/edit?usp=sharing,,fine,i---,seelie,1,low,low,,female,1930s,western_europe,white/european,,juan_e._sandoval | peter_j._foy,7,7,4,2,2,,,2,2,,,4,2,2,2,,,4,2,2,2,2,,,4,7,7,4,2,7,2,7,4,,,,,7,2,4,,2,4,,,2,,,2,,,,2,4,,,4,4,4,,4,2,4,,4,4,4,,,
Guillermo del Toro,Calin Copil,"Guillermo del Toro is a renowned Mexican filmmaker known for his distinct blend of fantasy and horror. His work, which includes films like ""Hellboy,"" ""The Devil's Backbone,"" ""Pan's Labyrinth,"" and ""Pinocchio,"" explores dark and imaginative themes, earning him critical acclaim and numerous awards, including three Academy Awards, three BAFTA Awards, and an Emmy Award.
",https://www.youtube.com/watch?v=L_ATs_iVvUg,https://www.youtube.com/watch?v=73tHPJYqGgQ,,https://docs.google.com/document/d/1fXZKS-RogLPpfGSv-_NNkATwp_MU-rMOZuzcPbmTB9g/edit?usp=sharing,,nife,ii-i,adaptive,1,medium,medium,,male,1960s,latin_america,white/european,,juan_e._sandoval | calin_copil | peter_j._foy,,,2,4,,4,2,4,4,2,2,4,4,4,4,4,4,4,4,4,4,4,2,4,4,2,2,,2,4,2,4,2,2,0,2,2,,2,,4,2,2,2,4,7,2,2,0,4,4,2,4,2,2,2,2,2,0,4,,,,4,2,4,2,2,,0
George R.R. Martin,Juan E. Sandoval,"George R.R. Martin is an American novelist and short-story writer best known for his ""A Song of Ice and Fire"" fantasy series, which inspired the immensely popular HBO television series ""Game of Thrones."" Born on September 20, 1948, in Bayonne, New Jersey, Martin began his career in the 1970s, writing for television shows like ""The Twilight Zone"" and ""Beauty and the Beast."" A prolific storyteller, he has also penned science fiction, horror, and historical fiction. His intricate plots, richly developed characters, and moral ambiguity have won him a massive global following, along with numerous awards, including the Hugo, Nebula, and Bram Stoker Awards.",https://www.youtube.com/watch?v=PH31spKQ0Ls,https://www.youtube.com/watch?v=JKN-UtCLaeE,https://www.youtube.com/watch?v=QLM5_Xf9aac,https://docs.google.com/document/d/1P4lZXNjmLFzNPhTo9YIBnmgER0XYHk57PjWek70yWzo/edit?usp=sharing,,nite,i---,seelie,1,medium,low,"l--l, NiFe",male,1940s,western_europe,white/european,,juan_e._sandoval | calin_copil | peter_j._foy,,,2,,,7,7,7,7,4,2,2,2,4,2,4,7,7,2,7,2,4,0,2,2,,,2,,4,7,7,4,2,,2,2,7,4,,,2,2,,4,7,,2,4,4,4,,7,7,2,,2,2,2,,,,,,0,2,2,,,2
Stanley Kubrick,Sierra Schwartz,"Stanley Kubrick (1928-1999) was a visionary American filmmaker renowned for his groundbreaking contributions to cinema. With an uncompromising commitment to artistic excellence, Kubrick directed iconic films such as ""2001: A Space Odyssey,"" ""A Clockwork Orange,"" and ""The Shining."" His meticulous attention to detail and innovative storytelling techniques left an indelible mark on the industry, earning him critical acclaim and a dedicated following. Kubrick's profound influence on filmmaking continues to resonate, solidifying his legacy as one of the most influential directors in cinematic history.",https://www.youtube.com/watch?v=y5KHGN76AFE&t=5s,https://www.youtube.com/watch?v=54hrLTpsO5g,https://www.youtube.com/watch?v=HgpY3RT1gu8,https://docs.google.com/document/d/1lr1Qo6ZLYrJ_8oilp_7LKmE0CLdDnUINp7wKjESqlMM/edit,,nite,i---,unseelie,3,low,low,,male,1920s,north_america,white/european,,juan_e._sandoval,,2,2,4,,4,4,2,2,4,2,,2,,2,7,7,,2,7,4,2,,2,4,,2,,,2,4,4,2,7,4,2,4,2,,,,,,2,,,4,,4,7,7,4,2,2,4,2,,,,,,,,,,2,,4,4,4
Novak Djokovic,Juan E. Sandoval,"Novak Djokovic is a Serbian professional tennis player widely considered one of the greatest in the history of the sport. Born on May 22, 1987, in Belgrade, Serbia, he turned pro in 2003. Djokovic has won multiple Grand Slam titles, including Wimbledon, the U.S. Open, the Australian Open, and the French Open, completing a career Grand Slam. Known for his remarkable consistency, mental toughness, and versatility on all court surfaces, he has also held the world No. 1 ranking in men's singles tennis for a record number of weeks. Djokovic has been lauded for his sportsmanship and philanthropy off the court.",https://www.youtube.com/watch?v=RRB1gAVjMg8,https://www.youtube.com/watch?v=ei_2LyVCWH4,https://www.youtube.com/watch?v=kVCWRkhfSeg,https://docs.google.com/document/d/1geN9WXltVlYarEwTW2WgoKKKygn4hL8JoZhs_6xTABw/edit?usp=sharing,,seti,i-ii,adaptive,1,low,low,,male,1980s,eastern_europe,white/european,,juan_e._sandoval | calin_copil | peter_j._foy | sierra_rose,2,,2,2,,4,7,4,4,,4,4,7,7,2,2,4,7,2,2,4,4,2,2,4,,,,4,4,2,,,2,2,,2,,,4,7,4,2,2,,4,2,,,4,7,4,4,7,4,,4,2,2,,,,,,4,2,,,,4
Steven Pinker,Juan E. Sandoval,"Steven Pinker is a renowned Canadian-American cognitive psychologist, linguist, and author, born in 1954. He's a professor at Harvard University and is best known for his work on language, the mind, and human nature. His influential books, such as ""The Language Instinct,"" ""How the Mind Works,"" and ""The Better Angels of Our Nature,"" explore diverse topics from language acquisition to the decline of violence over time. A popular science communicator, Pinker is lauded for his ability to distill complex scientific ideas into engaging narratives for a general audience. His work is often cited in discussions about cognitive science, evolutionary psychology, and the Enlightenment's impact on modern society.",https://www.youtube.com/watch?v=pmZJ4bV1E2w,https://www.youtube.com/watch?v=KJ9Ad6s8g7I,https://www.youtube.com/watch?v=sYf6dD4N86E,https://docs.google.com/document/d/1pFFFKPqlzsa7QJ9sPr7V8kM3VdLVtat63ZwLxbzTjgk/edit?usp=sharing,,fesi,ii--,adaptive,1,low,low,ll-l or llll dev.,male,1950s,north_america,jewish,,juan_e._sandoval | calin_copil | peter_j._foy | sierra_rose,4,4,4,7,4,,2,2,2,,4,0,0,2,7,,7,4,2,4,7,4,,4,7,2,2,2,4,4,,,,,,,0,0,0,7,7,7,4,,4,7,4,4,,,,,,,,,7,7,7,2,,,2,2,7,4,2,,,
Bjarne Stroustrup,Juan E. Sandoval,"Bjarne Stroustrup is a Danish computer scientist best known for creating the C++ programming language, a high-performance language that has profoundly influenced the field of software development. Born on December 30, 1950, Stroustrup earned his Ph.D. in Computer Science from the University of Cambridge. He introduced C++ in 1983 as an extension of the C language, incorporating object-oriented programming features. His work has been seminal in areas like systems programming, software infrastructure, and performance-sensitive applications. Stroustrup has received numerous awards, including the IEEE Computer Pioneer Award, and has authored several textbooks on C++.",https://www.youtube.com/watch?v=JBjjnqG0BP8,https://www.youtube.com/watch?v=UdTzHmjMYBc,https://www.youtube.com/watch?v=5An1sNznblQ,https://docs.google.com/document/d/1ga3zUB6SNi83QPUZfo8oSLHVcrhIVb7El6T_73nfga4/edit?usp=sharing,,nite,ii--,unseelie,2,,,,male,1950s,western_europe,white/european,,juan_e._sandoval | calin_copil | bella_hershkoviz,,,4,2,,4,7,4,7,4,2,2,4,4,,4,7,7,2,7,4,7,2,,4,,4,,,,2,4,4,4,,4,7,,,4,2,2,2,,,2,2,,7,4,7,2,4,4,2,,,4,,,4,,,,2,2,,0,2,7
Donald Knuth,Juan E. Sandoval,"Donald Knuth is an American computer scientist, mathematician, and professor emeritus at Stanford University. Born in 1938, he is best known for his seminal work ""The Art of Computer Programming,"" a multi-volume series that remains a standard reference in the field of computer science. Knuth also developed the TeX typesetting system, widely used for scientific publications, and created the computer programming language WEB. He has received numerous awards, including the Turing Award in 1974 and the National Medal of Science in 1979. A prolific author and lecturer, Knuth has had a lasting impact on the intersection of mathematics and computer science.",https://www.youtube.com/watch?v=q0n7Vr34gEc,https://www.youtube.com/watch?v=nvlEQwB0m0I,https://www.youtube.com/watch?v=2BdBfsXbST8&t=441s,https://docs.google.com/document/d/1tZy7q3Fj5DusK1Ho1cuDomeHnnZmB5OGkKQyK7Fl1oI/edit?usp=sharing,,nite,i--i,seelie,0,low,low,ll-l,male,1930s,north_america,white/european,,juan_e._sandoval | bella_hershkoviz,,,0,0,,7,7,7,7,4,7,2,2,4,2,2,4,7,4,7,,4,4,2,2,,,,,,2,2,7,4,,2,2,2,,4,,,2,,,,2,,7,4,7,4,4,7,,,,,,,,,,,,2,,,,
Katja Hoyer,Juan E. Sandoval,"Katja Hoyer, born 1985, is a German historian with an MA from Friedrich-Schiller-University Jena and a Fellow of the Royal Historical Society. She specializes in German national history and is the author of works like ""Blood and Iron"" and ""Beyond the Wall."" A frequent contributor to publications such as The Spectator and The Washington Post, Hoyer also co-hosts the podcast ""Tommies &amp; Jerries"" on Anglo-German relations. She is a sought-after public speaker and often appears as a political commentator on radio and TV.",https://www.youtube.com/watch?v=GJa8gxrREjc,https://www.youtube.com/watch?v=cofN_3rhUG4,https://www.youtube.com/watch?v=djp7oT55XyI,https://docs.google.com/document/d/1Ztmft0px1k5HixqyXXOL2ymZJWKmjyKcFRqTd8SGRHI/edit?usp=sharing,,nite,ii--,seelie,0,low,low,,male,1980s,western_europe,white/european,,juan_e._sandoval | peter_j._foy | sierra_rose,,,2,,,4,7,4,7,2,,4,,,,2,7,4,,7,4,2,,2,7,,,,2,4,4,,4,2,,2,4,,7,,4,,4,,,4,,,4,2,7,,7,2,2,,,,,,,,,,2,4,,,,2
Matt Ridley,Juan E. Sandoval,"Matt Ridley is a British author, journalist, and businessman, born in 1958, known for his works that explore the intersection of science, economics, and human progress. Educated at Oxford in zoology, Ridley has penned several influential books including ""The Rational Optimist,"" which argues for the positive impact of trade and innovation on human civilization. He has also written extensively on environmental issues, often challenging mainstream views. Ridley contributes to various media outlets and has served as a columnist for The Wall Street Journal and The Times. His work stimulates intellectual dialogue and often provokes debate, making him a notable figure in both scientific and policy circles.",https://www.youtube.com/watch?v=utpcUK88Z6Y,https://www.youtube.com/watch?v=XUAIIQFoufs,https://www.youtube.com/watch?v=ysZQGAqgOf0,https://docs.google.com/document/d/1Z9jRSGGEQHUz9PjeoNFOupr4Vz1FCUhkuVnI_1QKeW0/edit?usp=sharing,,teni,i---,unseelie,1,low,low,,male,1950s,western_europe,white/european,,juan_e._sandoval | calin_copil | sierra_rose,4,4,7,7,2,,,2,,,4,,0,2,2,,4,4,2,0,7,7,4,7,7,,,,,,7,7,7,4,2,7,7,,7,,,,,,,,4,,7,,7,4,4,7,,,2,4,,,,,,,,,,7,7,4
Martha Nussbaum,Juan E. Sandoval,"Martha Nussbaum is an American philosopher and classicist renowned for her work in ethics, political philosophy, and emotions. Born in 1947, she is the author of numerous influential books, including ""Upheavals of Thought"" and ""The Fragility of Goodness."" A professor at the University of Chicago, Nussbaum has significantly impacted the development of the ""capabilities approach,"" a framework that aims to assess and promote social justice and human well-being. Her interdisciplinary scholarship draws on philosophy, law, literature, and political science to explore topics like human rights, feminism, and global justice.",https://www.youtube.com/watch?v=VL6dBqZM2PA,https://www.youtube.com/watch?v=OtXu6uV_DG4,https://www.youtube.com/watch?v=_KHm6tHobk0,https://docs.google.com/document/d/1a2ynAF0k8aRf3BA9kKK6bILD-9UNGBwJ23d5N-NpXYU/edit?usp=sharing,,teni,i--i,seelie,0,low,low,,female,1940s,north_america,jewish,,juan_e._sandoval | calin_copil | sierra_rose,7,7,4,4,4,,,4,,,4,2,2,,2,,2,4,,0,7,7,2,7,4,4,7,2,2,7,2,4,7,4,,4,7,4,2,,,,,,2,2,0,2,4,7,7,,,,,,,,,,,,,,4,4,4,,,
Debbie Harry,Peter Foy,"Debbie Harry, the lead singer of the band Blondie, is known for her sultry voice and avant garde style which helped shape the punk and new wave movements of the late 1970s and 1980s. Alongside her career, she embraced an eccentric lifestyle that dabbled in the dark and bizarre underground art scene in New York City, reflecting in her music and fashion choices. Her enigmatic aura and fearless exploration of artistic boundaries have made her an enduring icon of both music and alternative culture. ",https://www.youtube.com/watch?v=FdIQ42rdcBk&t,https://www.youtube.com/watch?v=iJo6rf-od8A,https://www.youtube.com/watch?v=N2DKh6yImkQ,https://docs.google.com/document/d/1IOTw0gzT0Vttqy6mb1qpdqMJhTLahHYYh5opOPWxruw/edit,,sefi,ii-i,unseelie,2,low,,SeFi I--I,female,1940s,north_america,white/european,,calin_copil | peter_j._foy,4,0,,2,,7,7,4,4,4,4,4,4,2,4,4,4,4,2,2,2,2,2,0,2,7,4,0,2,4,2,7,7,7,4,4,4,,,4,,,2,2,,,2,,7,0,7,2,2,7,7,7,,7,,,,,,,2,2,2,4,,4
Kyle,Juan E. Sandoval,"Kyle is an American computers and technology specialist who helps businesses maximize efficiency &amp; effectiveness. He's a philosophically inclined individual with a strong mathematical background, showing a keen interest in existential and metaphysical discourse. Kyle values empirical evidence and rationality as the guiding principles for worldview alignment, emphasizing a systematic and rigorous approach to exploring complex topics, which often involve a breakdown of arguments into premises for easier scrutiny. He ascribes to the view of an ""absolute contingency"" justified by rational argumentation.",https://www.youtube.com/watch?v=J_aZkea1_O0,https://www.youtube.com/watch?v=0WotsxyyrMs,https://www.youtube.com/watch?v=MoF46AMhpl0,https://docs.google.com/document/d/1BMYA0rwJgFMEaj9SQ8is1EmxUdfTnL9kSrBCxoJJJ_k/edit,,nite,ii--,unseelie,2,low,medium,TeNi ll--,male,2000s,north_america,white/european,,juan_e._sandoval | bella_hershkoviz | sierra_rose,2,2,4,4,4,4,7,2,2,2,2,4,0,2,2,4,4,4,7,7,7,2,0,4,7,,4,2,2,4,4,,4,4,,4,7,4,,,4,,,,2,2,,,4,4,7,4,4,2,,,2,4,2,4,2,,0,2,2,2,,2,4,2
Dakotah Tyler,Calin Copil,"Dakotah Tyler, known as dtstarkid on social media, embodies a unique blend of talents and expertise. As a former athlete, he's transitioned seamlessly into the world of academia, currently pursuing a Ph.D. in astrophysics with a focus on exoplanet research. Beyond his academic pursuits, Dakotah is a passionate science communicator, sharing the wonders of the universe with the world.",https://www.youtube.com/watch?v=d4GdTwDVSEU,https://www.youtube.com/watch?si=O5WUdr_iTi-hNmiC&v=YHwE-sdi3_o&feature=youtu.be,https://www.youtube.com/watch?v=jaubIwLT7u8,,,feni,i-i-,directive,0,low,low,,male,-1,north_america,black/african,,calin_copil,4,4,4,7,7,2,2,4,7,,7,2,4,4,7,,0,2,4,4,4,7,4,4,7,2,2,0,,4,2,,0,,2,2,,,2,2,2,0,4,2,4,7,7,2,4,2,4,4,2,2,2,,,2,,,,,2,,,2,,2,2,4
Robert Sapolsky,Juan E. Sandoval,"Robert Sapolsky is an American neuroscientist, primatologist, and author renowned for his research on stress, particularly in primates. Educated at Harvard and Rockefeller University, he serves as a professor at Stanford University, where he explores the complex interplay between biology and behavior. Sapolsky gained public attention for his fieldwork with baboons in East Africa, which served as the basis for his best-selling book ""Why Zebras Don't Get Ulcers."" His interdisciplinary approach combines neuroscience, psychology, and evolutionary biology to address key questions about stress, decision-making, and human behavior. Sapolsky is an influential science communicator, making complex topics accessible through lectures, books, and articles.",https://www.youtube.com/watch?v=9YYZQAXoghc,https://www.youtube.com/watch?v=PV6XKnVWNsk,https://www.youtube.com/watch?v=RI3JCq9-bbM,https://docs.google.com/document/d/1pYPcosUjF9w3gjkvfbIialUvEMwsNntim0RwRXtsx8Q/edit?usp=sharing,,teni,iii-,unseelie,3,medium,low,He's l-l- in some videos. (alt: FeNi),male,1950s,north_america,jewish,,juan_e._sandoval | calin_copil | bella_hershkoviz,2,4,4,4,4,4,2,4,2,,7,,4,2,4,2,4,4,2,4,4,7,7,4,4,2,2,,,4,4,,4,2,,4,7,,4,2,,2,2,,4,4,2,,7,7,7,4,4,2,2,,7,,4,4,,,,,2,0,,4,4,4
Madison Beer,Calin Copil,"Madison Beer is an American pop singer-songwriter whose music promotes personal growth and empowerment. She is also a fervent advocate for social issues, including mental health, women's rights, and environmental concerns. With a strong online presence, she uses her platform to support these important causes, making her not just a talented performer but also a powerful advocate for social change.",https://www.youtube.com/watch?v=U7mSE0PnHVI,https://www.youtube.com/watch?v=Q5gUJrlT634&pp=ygUWbWFkaXNvbiBiZWVyIGludGVydmlldw,https://www.youtube.com/watch?v=I7w7yslhiQE,,,seti,iii-,adaptive,1,medium,low,SeFi,female,1990s,north_america,jewish,,calin_copil | peter_j._foy,2,2,4,7,,7,4,4,7,7,4,7,7,4,4,,,2,,,2,2,4,7,4,7,2,2,2,7,2,0,4,2,0,4,2,4,,4,7,4,4,2,2,4,0,2,7,4,4,,7,2,7,4,,,,,,,2,2,4,7,4,2,2,2
Arfa Karim,Sierra Schwartz,"Arfa Karim (1995-2012) was a Pakistani computer prodigy, recognized as the world's youngest Microsoft Certified Professional at the age of 9. Her remarkable achievement catapulted her to international fame and earned her a meeting with Bill Gates. Arfa's passion for technology continued as she pursued a degree in computer science. Tragically, she passed away at just 16, but her legacy endures as an inspiration to aspiring young minds worldwide. Arfa Karim's brief yet impactful life serves as a reminder of the extraordinary potential within the youth and the power of determination in the face of adversity.",https://www.youtube.com/watch?v=y54bDs8xBNk&t=280s,https://www.youtube.com/watch?v=nu_lXYSXgl8,https://www.youtube.com/watch?v=3X07dB032Qs,,,nefi,iii-,seelie,0,low,low,TeSi I-II,female,1990s,south_asia,indian,,juan_e._sandoval | calin_copil,2,2,4,4,,4,2,4,2,7,4,2,4,2,4,2,4,2,2,2,4,4,2,4,4,4,4,4,2,4,7,7,7,4,,2,4,4,2,,,,,,2,2,,,,,,,,,,,2,4,7,2,2,4,2,,7,7,4,,,
Irving Finkel,Juan E. Sandoval,"Irving Finkel, born in 1951, is a British philologist and Assyriologist renowned for his expertise in ancient Mesopotamian languages and cultures. He serves as a curator at the British Museum, where he has made significant contributions to the field through his work on cuneiform tablets and other artifacts. Finkel is perhaps best known for translating a 4,000-year-old clay tablet detailing a Mesopotamian flood story, which drew parallels to the biblical tale of Noah's Ark. A lifelong educator, he frequently shares his findings through lectures, publications, and media appearances, contributing to our understanding of ancient civilizations.",https://www.youtube.com/watch?v=X0hi2Q3TAK8,https://www.youtube.com/watch?v=JmlI1xVply8,https://www.youtube.com/watch?v=OKugkwqN8Kg,https://docs.google.com/document/d/1MFstZnmAXpib7pKvG0rFmalD4OQS-SlGqXwp98k3GFA/edit,,teni,i-i-,unseelie,2,low,low,,male,1950s,western_europe,jewish,,juan_e._sandoval | calin_copil | bella_hershkoviz,4,7,4,4,2,4,,4,4,,7,,4,7,4,,4,,2,4,7,7,2,7,7,,,,,,4,2,7,,,7,7,,,2,,,,,2,2,4,,7,7,7,7,,2,4,,,,,,,,,,,,,7,7,7
Paris Hilton,Calin Copil,"Paris Hilton is a versatile American media personality, businesswoman, and socialite. Her multifaceted career includes modeling, acting, singing, and DJing. She achieved widespread recognition through her reality TV show ""The Simple Life"" and a thriving fragrance line. Hilton is also a savvy entrepreneur with ventures in fashion and hospitality, making her an influential figure in the industry and a true icon of contemporary pop culture.
",https://www.youtube.com/watch?v=QFC_OyhdB38,https://www.youtube.com/watch?v=dTu6hZ8jjNc,https://www.youtube.com/watch?v=t6fEM8tiqYw,,,fise,ii-i,unseelie,1,low,low,I--I (3rd vid),female,1980s,north_america,white/european,,juan_e._sandoval | calin_copil,4,7,2,4,2,2,,2,2,,2,4,7,,2,,2,4,2,,4,4,4,4,2,7,4,4,2,7,4,4,4,2,,4,2,7,2,,2,2,4,2,2,0,,0,7,4,7,2,4,2,2,2,,,,,,,2,,4,2,2,4,2,4
Cathie Wood,Juan E. Sandoval,"Cathie Wood is the founder, CEO, and CIO of ARK Invest, an investment management firm that focuses on disruptive innovation and technology. Established in 2014, ARK Invest has gained significant attention for its high-risk, high-reward strategy, particularly through its flagship ARK Innovation ETF. Wood became a prominent figure in the investment community for her bullish outlook on technologies such as electric vehicles, artificial intelligence, and genomics. Her contrarian views, including an early and optimistic stance on companies like Tesla, have been both criticized and lauded but have generally resulted in substantial returns for her firm's investors.",https://www.youtube.com/watch?v=MOagXEYuhj4,https://www.youtube.com/watch?v=_J2KAr_eKVE,https://www.youtube.com/watch?v=44QUsV376GI,,,teni,i--i,seelie,0,high,low,,female,1950s,north_america,white/european,,juan_e._sandoval | mitchell_newman,7,7,4,7,2,,,2,,,2,,2,,4,,4,4,0,4,4,4,2,4,7,2,2,4,2,7,2,7,7,4,,2,4,2,,4,4,,2,,2,4,,4,7,2,7,,,,,,,,,,,,,,4,4,,,,
Eddie Hall,Juan E. Sandoval,"Eddie Hall, born in 1988 England, is a British former professional strongman renowned for his extraordinary feats of strength. He made history in 2017 by becoming the first person to deadlift 500 kilograms (1,102 pounds), a record that cemented his reputation as one of the strongest men ever. Hall won the prestigious World's Strongest Man title in 2017, among numerous other strongman competitions. Standing at 6 feet 3 inches and often weighing over 400 pounds during his competitive years, his physicality is as imposing as his resume. Since retiring from strongman, Hall has delved into acting, boxing, and entrepreneurship.",https://www.youtube.com/watch?v=ZFBlpt2k28M,https://www.youtube.com/watch?v=aZ4Ks3QzydU,https://www.youtube.com/watch?v=qEspWjWxNKM,,,feni,ii--,directive,2,medium,low,,male,1980s,western_europe,white/european,,juan_e._sandoval | calin_copil | peter_j._foy,4,4,4,4,4,4,2,2,,,2,,2,2,,2,4,4,2,7,4,4,2,4,7,,,,2,2,4,2,4,4,,,,,,,,,4,2,7,7,4,,4,7,4,4,4,4,4,4,4,2,,,,,,,2,2,,2,2,7
