,Sample Name,Vultologist,Type,Development,Emotions,Fallen Affect,J Signal Mixing,P Signal Mixing,Sex,Age Range,Geography,Ethnicity,R1 Rigid Posture,R2 Face Centric,R3 Punctuated Motions,R4 Vertical Movements,R5 Subordinate Fluidity,F1 Fluid Posture,F2 Eye Centric,F3 Gliding Motions,F4 Horizontal Movements,F5 Subordinate Rigidity,PF1 Restless Momentum,PF2 Toggling Eyes,PF3 Body Swaying,PF4 Casual Hands,PF5 Alert Perk Ups,RF1 Viscous Inertia,RF2 Fixed Gaze,RF3 Diagonal Eye Drifts,RF4 Searching Scowling,RF5 Narrow Head Zoning,PR1 Head Pushes,PR2 Head Shakes,PR3 Shoulder Shrugs,PR4 Fluent Articulation,PR5 Projecting Hands,RR1 Poised Receding,RR2 Disengaging Eyes,RR3 Exerted Pushes,RR4 Momentum Halting,RR5 Meticulous Hands,CA1 Taut Nasolabial Area,CA2 Vertical Snarling Smiles,CA3 Four Point Pulling,CA4 Wobbling Lips,CA5 Asymmetrical Smirks,CA6 Sassy Movements,CA7 Plateau Velocity,CA8 Nasal Breathy Voice,CA9 Grasping Hands,MS1 Lax Nasolabial Area,MS2 Horizontal Curtain Smiles,MS3 Two Point Pulling,MS4 Symmetrical Lips,MS5 Emotional Neutralization,MS6 Coordinated Movements,MS7 Parabolic Velocity,MS8 Laryngeal Faint Voice,MS9 Puppeteer Hands,GR1 Taut Preseptal Area,GR2 Lax Pretarsal Area,GR3 Taut Outer Edges,GR4 Intense Scowling,GR5 Pointed Eye Toggles,GR6 Eye Head Parallel Motion,GR7 Grounding Effect,GR8 Bodily Awareness,SU1 Lax Preseptal Area,SU2 Taut Pretarsal Area,SU3 Lax Outer Edges,SU4 Concerned Scowling,SU5 Brushstrokes Eye Toggles,SU6 Eye Head Trailing Motions,SU7 Levity Effect,SU8 Quirky Skits,EU1 Responsive Nodding,EU2 Polite Smiling,EU3 Bashful Body Movements,EG1 Upset Mouth Tension,EG2 Assertive Pushing,EG3 Stern Expressions,sum,Lead Energetic,Quadra
120,Donald Knuth,Juan E. Sandoval,nite,i--i,unguarded,0.0,low,low,male,1930s,north_america,white/european,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,4.0,7.0,2.0,2.0,4.0,2.0,2.0,4.0,7.0,4.0,7.0,0.0,4.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,7.0,4.0,0.0,2.0,2.0,2.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,7.0,4.0,7.0,4.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,149.0,Pi,Gamma
121,Katja Hoyer,Juan E. Sandoval,nite,ii--,unguarded,0.0,low,low,male,1980s,western_europe,white/european,0.0,0.0,2.0,0.0,0.0,4.0,7.0,4.0,7.0,2.0,0.0,4.0,0.0,0.0,0.0,2.0,7.0,4.0,0.0,7.0,4.0,2.0,0.0,2.0,7.0,0.0,0.0,0.0,2.0,4.0,4.0,0.0,4.0,2.0,0.0,2.0,4.0,0.0,7.0,0.0,4.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,2.0,7.0,0.0,7.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,2.0,138.0,Pi,Gamma
122,Matt Ridley,Juan E. Sandoval,teni,i---,guarded,1.0,low,low,male,1950s,western_europe,white/european,4.0,4.0,7.0,7.0,2.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,2.0,2.0,0.0,4.0,4.0,2.0,0.0,7.0,7.0,4.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,4.0,2.0,7.0,7.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,7.0,0.0,7.0,4.0,4.0,7.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,4.0,182.0,Je,Gamma
123,Martha Nussbaum,Juan E. Sandoval,teni,i--i,unguarded,0.0,low,low,female,1940s,north_america,jewish,7.0,7.0,4.0,4.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,2.0,2.0,0.0,2.0,0.0,2.0,4.0,0.0,0.0,7.0,7.0,2.0,7.0,4.0,4.0,7.0,2.0,2.0,7.0,2.0,4.0,7.0,4.0,0.0,4.0,7.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,4.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,0.0,0.0,0.0,165.0,Je,Gamma
124,Debbie Harry,Peter Foy,sefi,ii-i,guarded,2.0,low,,female,1940s,north_america,white/european,4.0,0.0,0.0,2.0,0.0,7.0,7.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,7.0,4.0,0.0,2.0,4.0,2.0,7.0,7.0,7.0,4.0,4.0,4.0,0.0,0.0,4.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,7.0,0.0,7.0,2.0,2.0,7.0,7.0,7.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,4.0,0.0,4.0,198.0,Pe,Gamma
125,Kyle,Juan E. Sandoval,nite,ii--,guarded,2.0,low,medium,male,2000s,north_america,white/european,2.0,2.0,4.0,4.0,4.0,4.0,7.0,2.0,2.0,2.0,2.0,4.0,0.0,2.0,2.0,4.0,4.0,4.0,7.0,7.0,7.0,2.0,0.0,4.0,7.0,0.0,4.0,2.0,2.0,4.0,4.0,0.0,4.0,4.0,0.0,4.0,7.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,4.0,4.0,7.0,4.0,4.0,2.0,0.0,0.0,2.0,4.0,2.0,4.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,4.0,2.0,191.0,Pi,Gamma
126,Dakotah Tyler,Calin Copil,feni,i-i-,guarded,0.0,low,low,male,-1,north_america,black/african,4.0,4.0,4.0,7.0,7.0,2.0,2.0,4.0,7.0,0.0,7.0,2.0,4.0,4.0,7.0,0.0,0.0,2.0,4.0,4.0,4.0,7.0,4.0,4.0,7.0,2.0,2.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,4.0,2.0,4.0,7.0,7.0,2.0,4.0,2.0,4.0,4.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,4.0,181.0,Je,Beta
127,Robert Sapolsky,Juan E. Sandoval,teni,iii-,guarded,3.0,medium,low,male,1950s,north_america,jewish,2.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,2.0,0.0,7.0,0.0,4.0,2.0,4.0,2.0,4.0,4.0,2.0,4.0,4.0,7.0,7.0,4.0,4.0,2.0,2.0,0.0,0.0,4.0,4.0,0.0,4.0,2.0,0.0,4.0,7.0,0.0,4.0,2.0,0.0,2.0,2.0,0.0,4.0,4.0,2.0,0.0,7.0,7.0,7.0,4.0,4.0,2.0,2.0,0.0,7.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,4.0,4.0,203.0,Je,Gamma
128,Madison Beer,Calin Copil,seti,iii-,unguarded,1.0,medium,low,female,1990s,north_america,jewish,2.0,2.0,4.0,7.0,0.0,7.0,4.0,4.0,7.0,7.0,4.0,7.0,7.0,4.0,4.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,4.0,7.0,4.0,7.0,2.0,2.0,2.0,7.0,2.0,0.0,4.0,2.0,0.0,4.0,2.0,4.0,0.0,4.0,7.0,4.0,4.0,2.0,2.0,4.0,0.0,2.0,7.0,4.0,4.0,0.0,7.0,2.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,7.0,4.0,2.0,2.0,2.0,219.0,Pe,Beta
129,Arfa Karim,Sierra Schwartz,nefi,iii-,unguarded,0.0,low,low,female,1990s,south_asia,indian,2.0,2.0,4.0,4.0,0.0,4.0,2.0,4.0,2.0,7.0,4.0,2.0,4.0,2.0,4.0,2.0,4.0,2.0,2.0,2.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,7.0,7.0,7.0,4.0,0.0,2.0,4.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,7.0,2.0,2.0,4.0,2.0,0.0,7.0,7.0,4.0,0.0,0.0,0.0,177.0,Pe,Delta
130,Irving Finkel,Juan E. Sandoval,teni,i-i-,guarded,2.0,low,low,male,1950s,western_europe,jewish,4.0,7.0,4.0,4.0,2.0,4.0,0.0,4.0,4.0,0.0,7.0,0.0,4.0,7.0,4.0,0.0,4.0,0.0,2.0,4.0,7.0,7.0,2.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,7.0,0.0,0.0,7.0,7.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,0.0,7.0,7.0,7.0,7.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,189.0,Je,Gamma
131,Paris Hilton,Calin Copil,fise,ii-i,guarded,1.0,low,low,female,1980s,north_america,white/european,4.0,7.0,2.0,4.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,4.0,7.0,0.0,2.0,0.0,2.0,4.0,2.0,0.0,4.0,4.0,4.0,4.0,2.0,7.0,4.0,4.0,2.0,7.0,4.0,4.0,4.0,2.0,0.0,4.0,2.0,7.0,2.0,0.0,2.0,2.0,4.0,2.0,2.0,0.0,0.0,0.0,7.0,4.0,7.0,2.0,4.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,2.0,2.0,4.0,2.0,4.0,182.0,Ji,Gamma
132,Cathie Wood,Juan E. Sandoval,teni,i--i,unguarded,0.0,high,low,female,1950s,north_america,white/european,7.0,7.0,4.0,7.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,4.0,0.0,4.0,4.0,0.0,4.0,4.0,4.0,2.0,4.0,7.0,2.0,2.0,4.0,2.0,7.0,2.0,7.0,7.0,4.0,0.0,2.0,4.0,2.0,0.0,4.0,4.0,0.0,2.0,0.0,2.0,4.0,0.0,4.0,7.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,159.0,Je,Gamma
133,Eddie Hall,Juan E. Sandoval,feni,ii--,guarded,2.0,medium,low,male,1980s,western_europe,white/european,4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,4.0,4.0,2.0,7.0,4.0,4.0,2.0,4.0,7.0,0.0,0.0,0.0,2.0,2.0,4.0,2.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,7.0,7.0,4.0,0.0,4.0,7.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,7.0,174.0,Je,Beta
134,Mike Tyson,Juan E. Sandoval,seti,i-ii,unguarded,1.0,low,low,male,1960s,north_america,black/african,0.0,0.0,2.0,0.0,0.0,4.0,7.0,4.0,4.0,2.0,4.0,2.0,4.0,7.0,4.0,2.0,4.0,7.0,0.0,4.0,2.0,4.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,7.0,4.0,2.0,2.0,4.0,4.0,0.0,4.0,2.0,7.0,4.0,4.0,4.0,4.0,2.0,2.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,2.0,162.0,Pe,Beta
135,Oriana Fallaci,Peter Foy,nite,iiii,guarded,3.0,low,low,female,1920s,western_europe,white/european,0.0,2.0,4.0,2.0,0.0,7.0,7.0,7.0,4.0,7.0,0.0,4.0,7.0,2.0,4.0,7.0,2.0,7.0,2.0,2.0,7.0,4.0,2.0,4.0,2.0,7.0,4.0,2.0,2.0,4.0,4.0,7.0,7.0,4.0,2.0,2.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,7.0,7.0,4.0,4.0,4.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,4.0,2.0,2.0,2.0,4.0,7.0,213.0,Pi,Gamma
136,Douglas Murray,Juan E. Sandoval,teni,ii-i,guarded,3.0,low,medium,male,1970s,eastern_europe,white/european,4.0,4.0,2.0,4.0,4.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,4.0,4.0,2.0,4.0,4.0,7.0,2.0,7.0,4.0,2.0,4.0,2.0,4.0,7.0,4.0,4.0,7.0,4.0,4.0,4.0,7.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,7.0,4.0,4.0,0.0,0.0,0.0,4.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,4.0,2.0,7.0,180.0,Je,Gamma
137,Stephen Wolfram,Juan E. Sandoval,tesi,iii-,unguarded,0.0,low,medium,male,1950s,western_europe,jewish,0.0,0.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,7.0,0.0,4.0,4.0,4.0,2.0,7.0,4.0,2.0,4.0,7.0,7.0,2.0,7.0,7.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,4.0,2.0,0.0,4.0,7.0,0.0,7.0,2.0,4.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,4.0,4.0,7.0,4.0,2.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,177.0,Je,Delta
138,Albert Einstein,Juan E. Sandoval,site,i--i,unguarded,0.0,medium,low,male,1800s,western_europe,jewish,7.0,0.0,2.0,0.0,0.0,0.0,7.0,2.0,0.0,4.0,2.0,7.0,0.0,0.0,7.0,4.0,7.0,4.0,0.0,7.0,2.0,2.0,0.0,0.0,2.0,4.0,2.0,0.0,2.0,2.0,2.0,7.0,4.0,4.0,0.0,4.0,0.0,0.0,0.0,4.0,2.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,7.0,7.0,7.0,2.0,7.0,4.0,0.0,2.0,4.0,2.0,4.0,0.0,0.0,0.0,161.0,Pi,Delta
139,Sigmund Freud,Juan E. Sandoval,feni,iii-,guarded,5.0,low,low,male,1800s,western_europe,jewish,2.0,4.0,2.0,2.0,4.0,4.0,4.0,0.0,2.0,2.0,0.0,2.0,4.0,7.0,2.0,4.0,2.0,4.0,4.0,4.0,7.0,4.0,4.0,2.0,7.0,0.0,0.0,0.0,0.0,7.0,2.0,0.0,0.0,2.0,0.0,2.0,4.0,0.0,0.0,4.0,7.0,4.0,4.0,0.0,4.0,7.0,0.0,2.0,4.0,4.0,7.0,7.0,2.0,7.0,4.0,2.0,4.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,4.0,4.0,7.0,205.0,Je,Beta
140,Thom Yorke,Sierra Schwartz,seti,ii--,unguarded,3.0,low,medium,male,1960s,western_europe,white/european,4.0,2.0,2.0,2.0,0.0,4.0,4.0,4.0,2.0,7.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,4.0,2.0,2.0,4.0,4.0,7.0,2.0,4.0,7.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,7.0,4.0,2.0,7.0,2.0,2.0,2.0,4.0,0.0,2.0,0.0,2.0,2.0,4.0,0.0,2.0,2.0,2.0,198.0,Pe,Beta
141,Jennifer Doudna,Juan E. Sandoval,tesi,i---,unguarded,0.0,medium,low,female,1960s,north_america,white/european,7.0,7.0,2.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,4.0,4.0,2.0,2.0,7.0,7.0,0.0,4.0,2.0,0.0,2.0,0.0,0.0,4.0,2.0,0.0,4.0,2.0,2.0,7.0,4.0,2.0,0.0,0.0,7.0,4.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,4.0,7.0,7.0,7.0,4.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,155.0,Je,Delta
142,Hilary Swank,Calin Copil,fesi,i---,unguarded,0.0,low,medium,female,1970s,north_america,white/european,7.0,7.0,4.0,4.0,4.0,0.0,0.0,2.0,2.0,0.0,0.0,4.0,2.0,2.0,4.0,0.0,2.0,2.0,4.0,2.0,7.0,7.0,4.0,4.0,7.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,4.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,7.0,4.0,4.0,2.0,4.0,7.0,4.0,2.0,2.0,0.0,7.0,2.0,2.0,0.0,2.0,2.0,4.0,4.0,0.0,4.0,7.0,2.0,2.0,0.0,2.0,4.0,2.0,2.0,2.0,4.0,199.0,Je,Alpha
143,Rosa Parks,Juan E. Sandoval,sife,i---,unguarded,2.0,low,high,female,1910s,north_america,black/african,0.0,0.0,0.0,0.0,0.0,7.0,7.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,7.0,7.0,7.0,2.0,7.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,4.0,4.0,7.0,0.0,2.0,7.0,0.0,2.0,4.0,2.0,4.0,2.0,2.0,0.0,0.0,7.0,4.0,4.0,4.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,139.0,Pi,Alpha
144,Kylie Minogue,Peter Foy,sefi,iii-,unguarded,0.0,high,,female,1960s,australia/new_zeland,white/european,2.0,0.0,4.0,2.0,0.0,7.0,4.0,7.0,7.0,7.0,4.0,7.0,7.0,4.0,7.0,0.0,0.0,2.0,0.0,0.0,4.0,4.0,2.0,2.0,4.0,7.0,4.0,0.0,2.0,7.0,4.0,7.0,7.0,2.0,4.0,7.0,7.0,0.0,2.0,2.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,2.0,7.0,2.0,7.0,2.0,7.0,7.0,7.0,7.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,7.0,7.0,4.0,0.0,2.0,0.0,249.0,Pe,Gamma
145,Emmanuelle Charpentier,Juan E. Sandoval,fine,ii-i,unguarded,0.0,medium,low,female,1960s,western_europe,other/unknown,7.0,7.0,4.0,4.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,7.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,2.0,7.0,7.0,4.0,2.0,4.0,4.0,4.0,2.0,2.0,7.0,0.0,4.0,4.0,0.0,4.0,0.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,0.0,7.0,2.0,2.0,0.0,4.0,4.0,2.0,0.0,0.0,0.0,154.0,Ji,Delta
146,Richard Carrier,Calin Copil,tesi,i---,guarded,1.0,low,medium,male,1960s,north_america,white/european,4.0,4.0,7.0,7.0,7.0,2.0,2.0,2.0,7.0,0.0,2.0,4.0,2.0,4.0,2.0,2.0,2.0,0.0,7.0,2.0,7.0,4.0,4.0,7.0,7.0,2.0,2.0,2.0,0.0,2.0,2.0,4.0,4.0,4.0,7.0,4.0,7.0,7.0,4.0,2.0,4.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,4.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,4.0,7.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,4.0,211.0,Je,Delta
147,Nadia Murad,Hila Hershkoviz,tine,i---,guarded,3.0,,,female,1990s,middle_east/north_africa,arabic,7.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,2.0,2.0,4.0,2.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,7.0,4.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,4.0,4.0,4.0,0.0,4.0,0.0,2.0,2.0,0.0,0.0,0.0,7.0,142.0,Ji,Alpha
148,Alexandr Wang,Calin Copil,sefi,i-i-,guarded,1.0,low,low,male,1990s,north_america,east_asian,2.0,2.0,2.0,4.0,0.0,4.0,4.0,4.0,7.0,7.0,7.0,7.0,4.0,7.0,4.0,2.0,2.0,4.0,2.0,0.0,7.0,4.0,2.0,7.0,7.0,0.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,4.0,7.0,7.0,7.0,4.0,4.0,0.0,0.0,4.0,2.0,2.0,0.0,0.0,2.0,7.0,4.0,4.0,4.0,7.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,4.0,4.0,212.0,Pe,Gamma
149,Osama bin Laden,Juan E. Sandoval,tine,i---,guarded,3.0,medium,medium,male,1950s,middle_east/north_africa,arabic,4.0,7.0,4.0,4.0,4.0,2.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,7.0,4.0,7.0,2.0,7.0,4.0,4.0,4.0,7.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,7.0,7.0,7.0,2.0,4.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,4.0,4.0,4.0,2.0,7.0,4.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,7.0,175.0,Ji,Alpha
150,Jonathan Nolan,Calin Copil,fesi,i---,guarded,0.0,low,medium,male,1970s,western_europe,white/european,4.0,4.0,7.0,7.0,7.0,2.0,0.0,2.0,4.0,0.0,2.0,4.0,4.0,2.0,0.0,2.0,2.0,4.0,4.0,2.0,7.0,4.0,2.0,7.0,7.0,0.0,4.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,7.0,7.0,4.0,7.0,7.0,7.0,2.0,0.0,2.0,2.0,0.0,4.0,4.0,2.0,2.0,7.0,4.0,2.0,4.0,4.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,4.0,205.0,Je,Alpha
151,Chloe Zhao,Calin Copil,tine,i--i,unguarded,0.0,medium,medium,female,1980s,east_asia,han_chinese,4.0,7.0,7.0,7.0,2.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,4.0,0.0,4.0,0.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,7.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,4.0,4.0,4.0,7.0,2.0,4.0,4.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,4.0,2.0,4.0,2.0,2.0,4.0,0.0,2.0,4.0,4.0,0.0,0.0,0.0,177.0,Ji,Alpha
152,Randall Munroe,Juan E. Sandoval,fine,i--i,unguarded,1.0,medium,low,male,1980s,north_america,white/european,4.0,7.0,2.0,2.0,4.0,0.0,0.0,2.0,2.0,0.0,4.0,4.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,2.0,4.0,4.0,4.0,7.0,2.0,4.0,7.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,7.0,4.0,0.0,0.0,0.0,2.0,2.0,4.0,7.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,7.0,4.0,7.0,4.0,7.0,0.0,4.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,175.0,Ji,Delta
153,Terence Tao,Sierra Schwartz,fine,ii--,unguarded,0.0,low,low,male,1970s,australia/new_zeland,han_chinese,4.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,4.0,0.0,4.0,4.0,4.0,2.0,4.0,2.0,2.0,2.0,4.0,0.0,2.0,2.0,2.0,2.0,4.0,4.0,7.0,4.0,4.0,2.0,4.0,7.0,4.0,7.0,2.0,2.0,4.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,4.0,4.0,4.0,2.0,4.0,0.0,4.0,7.0,4.0,0.0,0.0,0.0,177.0,Ji,Delta
154,Jennifer Bagnaschi,Sierra Schwartz,feni,i---,unguarded,0.0,low,low,female,-1,north_america,black/african,7.0,4.0,7.0,7.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,4.0,2.0,4.0,0.0,2.0,4.0,4.0,4.0,2.0,4.0,7.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,4.0,2.0,0.0,2.0,4.0,7.0,7.0,7.0,2.0,4.0,4.0,4.0,2.0,7.0,2.0,4.0,7.0,4.0,2.0,2.0,4.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,4.0,4.0,2.0,0.0,4.0,2.0,191.0,Je,Beta
155,Akiane Kramarik,Juan E. Sandoval,fine,ii--,unguarded,2.0,low,medium,female,1990s,north_america,white/european,7.0,7.0,4.0,4.0,4.0,2.0,0.0,4.0,4.0,0.0,4.0,2.0,7.0,7.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,0.0,2.0,4.0,4.0,7.0,7.0,4.0,7.0,7.0,7.0,4.0,4.0,0.0,0.0,2.0,7.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,4.0,0.0,0.0,4.0,4.0,2.0,2.0,4.0,4.0,7.0,4.0,4.0,0.0,4.0,0.0,2.0,4.0,7.0,0.0,0.0,0.0,198.0,Ji,Delta
156,Karen O,Sierra Schwartz,fine,i---,unguarded,0.0,low,low,female,1970s,north_america,east_asian,4.0,4.0,7.0,4.0,2.0,2.0,2.0,2.0,2.0,0.0,4.0,2.0,2.0,4.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,4.0,2.0,4.0,7.0,7.0,2.0,4.0,4.0,7.0,4.0,4.0,4.0,0.0,2.0,4.0,7.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,4.0,0.0,2.0,2.0,2.0,2.0,4.0,7.0,7.0,0.0,0.0,0.0,162.0,Ji,Delta
